Player,TEAM,AGE,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT
Juwan Morgan,UTA,24,232,Indiana,USA,Undrafted,Undrafted,Undrafted,23,1.2,1.0,0.3,-31.0,5.1,13.4,9.9,55.8,10.4,79
Jusuf Nurkic,POR,26,290,None,Bosnia and He...,2014,1,16,25,10.2,8.3,3.4,3.8,8.7,26.5,20.6,53.9,21.3,83
Justise Winslow,MEM,25,222,Duke,USA,2015,1,10,21,6.7,4.3,1.9,-4.8,3.1,17.6,21.1,37.9,13.1,78
Justin Robinson,OKC,23,195,Virginia Tech,USA,2019,,,9,2.3,0.8,1.0,-22.0,1.1,6.7,11.1,45.3,15.0,73
Justin Patton,HOU,23,241,Creighton,USA,2017,1,16,13,5.4,3.8,1.1,-14.1,4.7,14.2,12.8,48.8,8.4,83
Justin James,SAC,24,190,Wyoming,USA,2019,2,40,26,1.8,0.4,0.6,-7.8,1.7,5.1,14.2,48.6,13.9,79
Justin Jackson,MIL,26,220,North Carolina,USA,2017,1,15,33,7.2,2.2,1.5,-3.7,2.4,9.9,19.9,51.9,14.4,80
Justin Holiday,IND,32,180,Washington,USA,Undrafted,Undrafted,Undrafted,60,10.5,3.7,1.6,-0.8,1.5,10.0,13.9,55.9,7.0,78
Julius Randle,NYK,26,250,Kentucky,USA,2014,1,7,61,23.9,10.4,6.0,3.0,3.4,23.3,28.0,57.1,26.4,80
Juancho Hernangomez,MIN,25,214,None,Spain,2016,1,15,43,7.0,3.9,0.6,-5.6,4.7,18.2,16.4,56.3,5.4,81
Juan Toscano-Anderson,GSW,28,209,Marquette,USA,Undrafted,Undrafted,Undrafted,42,5.3,4.0,2.4,4.0,3.0,16.9,11.0,68.2,17.0,78
Jrue Holiday,MIL,30,205,UCLA,USA,2009,1,17,48,17.2,4.5,5.7,9.4,3.7,9.4,21.3,59.7,24.5,75
Josh Richardson,DAL,27,200,Tennessee,USA,2015,2,40,48,12.3,3.5,2.8,-1.0,2.7,8.0,17.5,54.2,12.5,77
Josh Okogie,MIN,22,213,Georgia Tech,Nigeria,2018,1,20,49,5.7,2.6,1.1,-6.1,4.2,7.7,12.1,52.4,6.9,76
Josh Jackson,DET,24,207,Kansas,USA,2017,1,4,56,13.7,4.0,2.2,-1.8,3.5,12.2,25.5,52.2,14.4,80
Josh Hart,NOP,26,215,Villanova,USA,2017,1,30,47,9.2,8.0,2.3,-0.2,3.9,23.4,13.3,56.6,10.9,77
Josh Hall,OKC,20,190,None,USA,Undrafted,Undrafted,Undrafted,14,2.6,2.0,1.3,-10.2,0.5,14.0,17.4,32.0,15.1,81
Josh Green,DAL,20,200,Arizona,Australia,2020,1,18,29,2.2,1.9,0.5,0.9,5.9,12.0,11.5,47.4,6.4,77
Jordan Poole,GSW,21,194,Michigan,USA,2019,1,28,40,10.9,1.6,1.9,-0.3,1.0,7.0,23.9,56.9,16.4,76
Jordan Nwora,MIL,22,225,Louisville,USA,2020,2,45,25,5.5,1.8,0.3,5.0,1.8,14.5,24.9,58.4,4.5,80
Jordan McLaughlin,MIN,25,185,Southern California,USA,Undrafted,Undrafted,Undrafted,42,5.0,2.1,4.1,-6.7,1.9,8.7,13.3,48.0,30.8,71
Jordan Clarkson,UTA,28,194,Missouri,USA,2014,2,46,57,17.4,4.0,2.3,8.3,2.7,11.7,28.2,54.4,14.1,76
Jordan Bone,ORL,23,180,Tennessee,USA,2019,2,57,14,4.0,1.7,1.3,-14.3,1.8,10.2,12.1,51.9,14.3,74
Jordan Bell,WAS,26,216,Oregon,USA,2017,2,38,5,2.8,3.8,1.0,-20.2,7.1,19.7,14.4,35.0,11.9,80
Jontay Porter,MEM,21,240,Missouri,USA,Undrafted,Undrafted,Undrafted,8,1.4,1.1,0.1,-10.5,5.7,25.0,22.7,53.3,10.0,83
Jonas Valanciunas,MEM,28,265,None,Lithuania,2011,1,5,52,17.0,12.3,1.8,3.8,13.5,28.9,22.3,62.4,9.7,83
John Wall,HOU,30,210,Kentucky,USA,2010,1,1,40,20.6,3.2,6.9,-5.7,1.2,8.4,31.6,50.3,36.5,75
John Konchar,MEM,25,210,Indiana-Purdue Fort Wayne,USA,Undrafted,Undrafted,Undrafted,35,3.7,2.8,1.1,-0.4,4.9,15.7,11.8,56.7,10.4,77
John Collins,ATL,23,235,Wake Forest,USA,2017,1,19,53,17.8,7.7,1.3,3.1,6.8,18.2,21.4,63.4,7.0,81
Joel Embiid,PHI,27,280,Kansas,Cameroon,2014,1,3,42,29.8,11.0,3.1,11.2,7.7,25.9,35.5,63.8,16.6,84
Joe Ingles,UTA,33,220,None,Australia,Undrafted,Undrafted,Undrafted,56,12.2,3.7,4.4,11.5,1.5,11.1,15.9,70.0,22.4,80
Joe Harris,BKN,29,220,Virginia,USA,2014,2,33,61,14.4,3.6,1.9,7.2,2.2,9.0,15.8,67.4,8.0,78
Jimmy Butler,MIA,31,230,Marquette,USA,2011,1,30,45,21.5,7.0,7.3,3.9,5.5,15.3,26.1,60.1,36.1,79
Jevon Carter,PHX,25,200,West Virginia,USA,2018,2,32,49,3.8,1.4,1.1,1.9,2.1,10.9,14.4,55.1,13.7,73
Jerome Robinson,WAS,24,190,Boston College,USA,2018,1,13,17,4.9,2.2,1.5,-13.1,1.1,10.5,16.1,40.0,11.4,76
Jeremy Lamb,IND,28,180,Connecticut,USA,2012,1,12,36,10.1,3.6,1.5,-0.3,3.2,13.7,18.0,58.7,9.4,77
Jerami Grant,DET,27,210,Syracuse,USA,2014,2,39,53,22.5,4.6,2.8,-2.7,1.8,11.8,27.8,55.6,14.6,80
Jeff Teague,MIL,32,195,Wake Forest,USA,2009,1,19,46,6.6,1.7,2.4,3.1,1.6,7.7,16.8,54.4,17.8,75
Jeff Green,BKN,34,235,Georgetown,USA,2007,1,5,57,10.4,3.7,1.6,3.6,1.8,11.4,15.0,60.0,8.1,80
Jayson Tatum,BOS,23,210,Duke,USA,2017,1,3,55,25.7,7.4,4.3,3.2,2.0,19.1,29.6,56.9,19.6,80
Jaylen Nowell,MIN,21,201,Washington,USA,2019,2,43,38,9.5,2.3,1.6,-7.1,2.2,9.7,20.8,53.0,13.4,76
Jaylen Hoard,OKC,22,216,Wake Forest,France,Undrafted,Undrafted,Undrafted,11,5.6,3.5,0.8,-11.1,7.7,11.4,16.6,51.7,7.6,80
Jaylen Brown,BOS,24,223,California,USA,2016,1,3,54,24.4,5.8,3.4,2.0,3.5,13.2,28.9,59.2,16.5,78
Jaylen Adams,MIL,24,225,St. Bonaventure,USA,Undrafted,Undrafted,Undrafted,7,0.3,0.4,0.3,-31.0,0.0,14.3,17.8,12.5,20.0,72
Jaxson Hayes,NOP,20,220,Texas-Austin,USA,2019,1,8,49,6.3,3.9,0.5,0.4,8.3,16.4,14.2,68.9,5.4,83
Javonte Green,CHI,27,205,Radford,USA,Undrafted,Undrafted,Undrafted,31,3.5,1.9,0.4,-5.0,5.7,10.3,12.0,59.2,4.8,76
Jarrett Culver,MIN,22,195,Texas Tech,USA,2019,1,6,34,5.3,3.1,0.7,-10.7,5.9,13.2,17.9,47.6,7.9,78
Jarrett Allen,CLE,23,243,Texas-Austin,USA,2017,1,22,52,13.2,9.8,1.6,-4.3,10.5,23.0,16.5,68.5,8.4,83
Jarrell Brantley,UTA,24,250,College of Charleston,USA,2019,2,50,21,1.9,1.0,0.3,-4.5,5.8,12.1,16.4,57.6,10.3,77
Jarred Vanderbilt,MIN,22,214,Kentucky,USA,2018,2,41,54,5.1,5.4,1.2,-4.9,9.2,20.9,12.4,59.5,10.4,81
Jaren Jackson Jr.,MEM,21,242,Michigan State,USA,2018,1,4,3,16.0,6.0,1.0,2.6,6.9,21.9,30.2,57.1,6.7,83
