#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
2,Jaylen Brown,BOS,54,34.2,9.3,18.8,0.493,2.7,6.8,0.402,3.2,4.2,0.757,2.7,2.9,1.2,4.6,5.8,3.4,1.2,0.5,24.4
3,Kemba Walker,BOS,39,31.5,6.3,15.3,0.409,2.8,8.1,0.348,2.9,3.1,0.918,2.1,1.4,0.3,3.6,3.9,5,1.1,0.3,18.2
4,Marcus Smart,BOS,41,32.6,4.4,10.6,0.411,2,5.9,0.347,2.9,3.6,0.796,1.8,2.5,0.8,2.7,3.4,5.5,1.5,0.5,13.6
5,Daniel Theis,BOS,42,24.4,3.8,6.9,0.552,0.8,2.3,0.347,1.1,1.6,0.687,1,2.9,1.3,4,5.2,1.6,0.6,1,9.5
6,Robert Williams,BOS,47,18.9,3.7,5.1,0.72,0,0,0,0.9,1.4,0.646,1,2.1,2.6,4.4,7,1.8,0.8,1.8,8.2
7,Evan Fournier,BOS,6,26.1,2.7,8,0.333,1.8,4.7,0.393,0.8,1,0.833,1.2,2.2,0.2,1.8,2,2.2,1,0.7,8
8,Tristan Thompson,BOS,46,23.3,3.2,6.1,0.53,0,0.1,0,1.4,2.3,0.613,1.1,2.1,3,5,8.1,1.1,0.4,0.5,7.9
9,Payton Pritchard,BOS,55,19.1,2.7,6,0.45,1.4,3.4,0.419,0.5,0.6,0.906,0.8,1.6,0.5,1.7,2.3,1.8,0.5,0.2,7.3
10,Jeff Teague,BOS,34,18.1,2.3,5.5,0.415,0.8,1.6,0.464,1.5,1.8,0.836,1.1,1.3,0.3,1.4,1.7,2.1,0.8,0.2,6.9
11,Jabari Parker,BOS,5,14.3,2.8,5.2,0.538,0,0.8,0,0.6,0.8,0.75,0.8,0.6,1.2,2.4,3.6,1.2,0.2,0.6,6.2
12,Semi Ojeleye,BOS,50,17.5,1.6,4,0.4,1.1,2.9,0.386,0.5,0.6,0.75,0.4,1.1,0.5,2.1,2.6,0.7,0.3,0,4.8
13,Grant Williams,BOS,53,18.7,1.6,3.8,0.426,0.8,2.1,0.373,0.4,0.8,0.55,0.9,2.6,0.8,2.1,2.9,1,0.6,0.4,4.4
14,Javonte Green,BOS,25,13.8,1.6,2.8,0.549,0.3,0.9,0.318,0.8,1.2,0.667,0.5,1.3,0.8,1.3,2.1,0.4,0.7,0.1,4.2
15,Carsen Edwards,BOS,25,8.5,1.6,3.4,0.453,0.5,1.8,0.283,0.3,0.4,0.778,0.2,0.9,0.1,0.8,0.9,0.4,0.2,0,3.9
16,Luke Kornet,BOS,11,11.9,1.5,3.5,0.421,0.6,2.1,0.304,0.1,0.2,0.5,0.2,0.9,0.5,1.9,2.5,0.9,0,1,3.6
17,Aaron Nesmith,BOS,35,12.6,1.1,3.1,0.374,0.7,2.2,0.342,0.4,0.5,0.722,0.5,1.4,0.5,1.8,2.2,0.4,0.3,0.2,3.4
18,Tremont Waters,BOS,18,7.1,0.8,2.3,0.366,0.4,1,0.389,0.7,0.8,0.929,0.8,0.4,0.2,0.4,0.6,2,0.6,0,2.8
19,Tacko Fall,BOS,15,6.7,1.2,1.6,0.75,0,0,0,0.3,0.9,0.308,0.3,1.1,0.7,1.8,2.5,0.1,0.1,0.8,2.7
20,Romeo Langford,BOS,12,15.1,0.8,2.8,0.294,0.3,1,0.333,0.2,0.2,1,0.6,1.2,0.8,1.2,2.1,0.7,0.3,0.2,2.2
21,Moe Wagner,BOS,9,6.8,0.4,1.6,0.286,0.2,0.7,0.333,0.1,0.2,0.5,1,1.1,0.3,1.8,2.1,0.7,0,0.1,1.2
1,Kevin Durant,BRK,25,32.5,9.4,17.3,0.544,2.5,5.4,0.467,6.2,7.1,0.87,3.6,2,0.4,6.3,6.7,5.2,0.6,1.3,27.5
2,Kyrie Irving,BRK,45,35.2,10.3,20.4,0.507,2.7,6.9,0.39,4,4.3,0.923,2.5,2.6,1,3.9,5,6.5,1.3,0.6,27.3
3,James Harden,BRK,34,37.3,8.1,17.3,0.467,2.7,7.5,0.361,6.5,7.5,0.867,4.1,2.4,0.9,7.8,8.7,11,1.3,0.7,25.4
4,Caris LeVert,BRK,12,27.8,7.2,16.7,0.435,1.8,5.2,0.349,2.2,2.8,0.765,2.2,1.7,0.8,3.5,4.3,6,1.1,0.5,18.5
5,Joe Harris,BRK,61,30.9,5.3,10.3,0.513,3.1,6.5,0.482,0.8,1,0.78,0.8,2,0.6,2.9,3.6,1.9,0.7,0.2,14.4
6,LaMarcus Aldridge,BRK,5,26.1,5,9.6,0.521,0.8,1,0.8,2,2,1,1.4,2.2,0.4,4.4,4.8,2.6,0.6,2.2,12.8
7,Jarrett Allen,BRK,12,26.6,3.7,5.4,0.677,0,0,0,3.8,5.1,0.754,1.8,1.8,3.2,7.2,10.4,1.7,0.6,1.6,11.2
8,Jeff Green,BRK,57,27,3.6,7.7,0.475,1.4,3.5,0.386,1.7,2.2,0.78,0.8,1.8,0.5,3.3,3.7,1.6,0.6,0.4,10.4
9,Blake Griffin,BRK,15,21,3.2,6.5,0.49,1,2.7,0.366,1.9,2.5,0.763,1.3,2.6,0.9,3.7,4.6,2.5,0.8,0.5,9.3
10,Landry Shamet,BRK,50,22,3.1,7.4,0.411,2.1,5.4,0.391,1.1,1.3,0.857,0.8,1.5,0.2,1.6,1.8,1.5,0.5,0.1,9.3
11,"Bruce Brown, Jr.",BRK,57,22.3,3.6,6.5,0.546,0.3,1,0.291,1.4,1.9,0.736,0.9,2.3,1.7,3.5,5.2,1.6,0.9,0.4,8.8
12,Taurean Prince,BRK,12,18.1,2.5,6.2,0.405,1.1,3.1,0.351,2,2.2,0.889,0.9,1.8,0.2,2.7,2.8,0.6,0.7,0.7,8.1
13,DeAndre Jordan,BRK,53,22.3,3.5,4.4,0.779,0,0,0,0.8,1.5,0.506,1.5,2.1,2,5.5,7.5,1.7,0.3,1.2,7.7
14,Spencer Dinwiddie,BRK,3,21.4,2,5.3,0.375,0.7,2.3,0.286,2,2,1,1.7,1.3,0,4.3,4.3,3,0.7,0.3,6.7
15,Timothe Luwawu-Cabarrot,BRK,53,19,2.3,6.4,0.361,1.4,4.3,0.314,0.6,0.8,0.8,0.8,1.8,0.5,1.9,2.4,1.2,0.6,0.1,6.6
16,Nicolas Claxton,BRK,25,18.5,2.8,4.8,0.583,0,0.2,0.2,0.9,1.8,0.5,0.6,2.1,1.4,3.6,5,1.1,0.8,1.2,6.6
17,Tyler Johnson,BRK,32,16.8,1.8,4.6,0.401,1.2,3.3,0.381,0.5,0.6,0.842,0.4,1,0.2,1.7,1.9,1,0.4,0,5.4
18,Alize Johnson,BRK,12,10.6,2.5,4.1,0.612,0.1,0.4,0.2,0.2,0.2,1,0.7,0.8,1.5,3.1,4.6,0.8,0.3,0.2,5.3
19,Mike James,BRK,2,14,1.5,4.5,0.333,0.5,1,0.5,1.5,3,0.5,0.5,0,0.5,1,1.5,1.5,0.5,0,5
20,Chris Chiozza,BRK,22,10.6,1.4,4,0.352,0.6,1.9,0.31,0.6,0.8,0.765,0.7,0.9,0.1,1,1.1,3,0.3,0.3,4
21,Reggie Perry,BRK,21,9.5,1.5,3.5,0.419,0.2,1,0.2,0.5,0.6,0.769,0.7,1.7,1.1,2,3.1,0.7,0.3,0.3,3.6
22,Norvel Pelle,BRK,3,9.3,1,2.3,0.429,0,0,0,0,0,0,1,3,1,1.3,2.3,0,0,1,2
23,Andre Roberson,BRK,5,12.6,0.4,2.8,0.143,0.2,1.6,0.125,0.2,0.4,0.5,0.4,0.8,1.4,1.6,3,0.8,0.6,0.2,1.2
24,Iman Shumpert,BRK,2,5.5,0.5,2,0.25,0,1.5,0,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,1
25,Rodions Kurucs,BRK,5,3.2,0.2,0.6,0.333,0.2,0.4,0.5,0,0,0,0,0.2,0,0.6,0.6,0.4,0,0,0.6
26,Tyler Cook,BRK,4,4.1,0.2,0.8,0.333,0,0,0,0,0,0,0.2,0.5,0.2,0.2,0.5,0.5,0,0,0.5
27,Noah Vonleh,BRK,4,2.7,0,0.8,0,0,0.5,0,0,0,0,0.5,0.5,0,0.2,0.2,0.2,0,0,0
1,Terry Rozier,CHA,57,34,7.5,16.1,0.465,3.3,8.3,0.403,2.3,2.8,0.825,1.9,1.8,0.6,3.7,4.2,4.1,1.2,0.4,20.6
2,Gordon Hayward,CHA,44,34,7.1,15,0.473,1.9,4.7,0.415,3.5,4.2,0.843,2.1,1.7,0.8,5,5.9,4.1,1.2,0.3,19.6
3,LaMelo Ball,CHA,41,28.6,5.8,12.8,0.451,2,5.3,0.375,2.4,3,0.789,2.8,2.8,1.3,4.5,5.9,6.1,1.6,0.3,15.9
4,Devonte' Graham,CHA,48,29.9,4.5,12.1,0.373,3.1,8.5,0.37,2,2.5,0.824,1.5,1.4,0.4,2.2,2.6,5.4,0.9,0.1,14.2
5,Malik Monk,CHA,32,21.7,4.6,10.1,0.46,2.2,5.2,0.424,1.7,2,0.815,1.5,1.2,0.4,2.3,2.7,1.9,0.5,0.1,13.1
6,P.J. Washington,CHA,53,29.7,4.4,10.1,0.438,1.6,4.1,0.399,1.8,2.4,0.764,2.1,2.6,1.4,4.9,6.4,2.6,1,1.3,12.3
7,Miles Bridges,CHA,60,28.5,4.4,8.8,0.505,1.7,4.1,0.407,1.3,1.6,0.851,1.6,2.1,1.2,4.8,6,2.1,0.7,0.7,11.8
8,Cody Zeller,CHA,38,21,3.6,6.7,0.542,0.1,0.7,0.12,1.7,2.2,0.741,1.1,2.4,2.6,4.3,6.9,1.9,0.6,0.4,8.9
9,Brad Wanamaker,CHA,14,19,2.7,6.4,0.422,0.2,1.5,0.143,1.7,2,0.857,1.8,2,0.3,1.3,1.6,3.6,0.9,0.2,7.4
10,Jalen McDaniels,CHA,35,16.9,2.5,5.5,0.448,0.7,2.1,0.319,0.9,1.2,0.732,1,1.9,0.7,2.1,2.8,1,0.6,0.3,6.5
11,Bismack Biyombo,CHA,54,20.9,2.2,3.9,0.572,0,0,0,0.8,1.7,0.478,1,2.3,2.1,3.2,5.3,1.3,0.3,1.1,5.2
12,Caleb Martin,CHA,45,15.1,1.8,4.9,0.379,0.6,2.3,0.252,0.7,1.1,0.612,0.6,1.1,0.6,2.1,2.8,1.2,0.7,0.2,4.9
13,Cody Martin,CHA,48,15.9,1.6,3.5,0.453,0.3,1.1,0.275,0.5,0.8,0.615,0.7,0.9,0.9,2,2.9,1.6,0.6,0.2,4
14,Grant Riller,CHA,5,4.3,1.2,1.8,0.667,0.4,0.8,0.5,0,0,0,0.2,0,0,0,0,0.6,0.2,0,2.8
15,"Vernon Carey, Jr.",CHA,15,6.3,0.9,1.9,0.5,0.1,0.5,0.143,0.5,0.6,0.889,0.3,0.7,0.2,1.2,1.4,0.1,0.1,0.3,2.5
16,Nate Darling,CHA,6,4,0.3,1.2,0.286,0.3,1.2,0.286,0.5,0.5,1,0.2,0.2,0.2,0,0.2,0.2,0,0.2,1.5
17,Nick Richards,CHA,17,3.6,0.2,0.5,0.5,0,0.1,0,0.4,0.6,0.636,0.2,0.4,0.1,0.4,0.5,0.1,0,0,0.9
1,Zach LaVine,CHI,53,35.2,9.8,19.4,0.506,3.4,8.2,0.416,4.4,5.2,0.848,3.6,2.3,0.6,4.5,5.1,5.1,0.8,0.5,27.5
2,Nikola Vucevic,CHI,17,31.8,9.1,17.8,0.513,2.3,5.3,0.433,1.7,2,0.853,1.5,2.1,2.1,8.1,10.2,3.7,1,0.8,22.2
3,Coby White,CHI,57,30.7,5.3,12.8,0.417,2.1,6.2,0.347,1.9,2.1,0.917,2.2,2.5,0.4,3.7,4.1,4.5,0.6,0.2,14.8
4,Lauri Markkanen,CHI,40,26.8,5.2,10.8,0.479,2.4,6,0.397,1.6,2,0.835,1.1,1.5,0.7,4.6,5.3,0.9,0.5,0.3,14.4
5,Thaddeus Young,CHI,56,24,5.5,9.6,0.578,0.2,0.6,0.278,1,1.5,0.635,2,2.4,2.4,3.7,6.1,4.1,1.1,0.6,12.2
6,"Wendell Carter, Jr.",CHI,32,24.7,4,7.9,0.512,0.2,0.7,0.364,2.6,3.5,0.739,1.5,3,2.2,5.6,7.8,2.2,0.6,0.8,10.9
7,Otto Porter,CHI,25,21.6,3.6,8.1,0.441,1.5,3.8,0.4,1.2,1.5,0.838,1,1.5,1.1,4.4,5.5,2,0.5,0.2,9.9
8,Patrick Williams,CHI,59,28.2,3.6,7.5,0.482,0.8,2,0.381,1.2,1.6,0.755,1.4,1.9,0.9,3.8,4.7,1.4,0.9,0.6,9.2
9,Daniel Theis,CHI,15,23.3,3.7,7.2,0.509,0.6,2.6,0.231,1.1,1.8,0.63,1.1,1.8,1.4,3.5,4.9,1.9,0.5,0.6,9.1
10,Tomas Satoransky,CHI,48,23.3,2.9,5.8,0.507,0.8,2.1,0.379,1.2,1.3,0.889,1.7,1.6,0.5,1.9,2.4,4.9,0.8,0.2,7.9
11,Garrett Temple,CHI,44,26.8,2.9,7,0.415,1.2,3.7,0.337,0.8,0.9,0.825,1,2.2,0.5,2.3,2.8,2.2,0.8,0.5,7.8
12,Denzel Valentine,CHI,53,17.6,2.7,7,0.38,1.4,4.2,0.327,0.2,0.3,0.929,0.7,1.1,0.4,3,3.4,1.7,0.5,0.1,6.9
13,"Troy Brown, Jr.",CHI,13,18.2,2.2,4.2,0.527,0.6,1.8,0.333,0.4,0.5,0.833,0.4,1.5,0.7,2.7,3.4,0.8,0.5,0.2,5.5
14,Daniel Gafford,CHI,31,12.4,1.9,2.8,0.69,0,0,0,0.9,1.3,0.659,0.7,1.7,1.4,1.9,3.3,0.5,0.4,1.1,4.7
15,Ryan Arcidiacono,CHI,35,11,1.1,2.8,0.394,0.5,1.6,0.316,0.3,0.5,0.75,0.2,1.2,0.1,1.5,1.6,1.4,0.2,0,3.1
16,Luke Kornet,CHI,13,7.2,0.7,2.1,0.333,0.5,1.8,0.261,0.2,0.3,0.5,0.1,0.1,0.1,1.1,1.2,0.3,0.2,0.5,2
17,Chandler Hutchison,CHI,7,9.1,0.7,2.6,0.278,0.1,0.4,0.333,0.3,0.3,1,0.7,1.3,0.1,2.7,2.9,0.6,0.1,0,1.9
18,Adam Mokoka,CHI,11,4.7,0.6,1.5,0.412,0.1,0.8,0.111,0,0.1,0,0.3,0.5,0.1,0.4,0.5,0.5,0.2,0.1,1.4
19,Cristiano Felicio,CHI,13,4.4,0.3,0.5,0.571,0,0.1,0,0.5,0.8,0.6,0.3,0.5,0.5,0.6,1.1,0.6,0.2,0,1.1
20,Devon Dotson,CHI,6,3.6,0.5,1.2,0.429,0,0.2,0,0,0,0,0,0.2,0.3,0.2,0.5,0.3,0.2,0,1
21,Javonte Green,CHI,6,5.5,0.2,1.2,0.143,0,0.2,0,0.3,0.3,1,0.7,0.5,0.3,0.8,1.2,0.3,0.3,0.3,0.7
22,Al-Farouq Aminu,CHI,3,8,0,1,0,0,0.7,0,0.7,0.7,1,0.7,1,0,3,3,0.3,0,0,0.7
1,Collin Sexton,CLE,50,35.7,9,18.4,0.487,1.7,4.4,0.376,4.8,5.9,0.815,2.6,2.7,0.9,2.2,3,4.1,1.1,0.1,24.5
2,Darius Garland,CLE,50,33.7,6.8,15,0.454,2,4.9,0.411,2.1,2.5,0.847,3,2.2,0.5,2,2.5,6.1,1.2,0.1,17.8
3,Andre Drummond,CLE,25,28.9,7.2,15.2,0.474,0,0.3,0,3.1,5.2,0.597,3.2,2.8,4,9.4,13.5,2.6,1.6,1.2,17.5
4,Jarrett Allen,CLE,39,29.8,5.2,8.2,0.635,0.1,0.3,0.385,3.3,4.7,0.705,1.4,1.6,3,6.7,9.7,1.6,0.5,1.6,13.8
5,Kevin Love,CLE,17,23.1,4,9.9,0.402,2.1,6.2,0.343,1.6,2.1,0.778,1.4,0.9,0.7,5.7,6.4,2.2,0.5,0.1,11.8
6,Taurean Prince,CLE,29,23.7,3.5,8.7,0.399,1.7,4.1,0.415,1.4,1.7,0.837,1.2,1.9,0.6,3.1,3.7,2.4,0.7,0.5,10.1
7,Cedi Osman,CLE,50,24.3,3.5,9.5,0.366,1.6,5.3,0.305,1.1,1.5,0.75,1.1,1.9,0.6,2.7,3.3,2.6,0.9,0.2,9.7
8,Yogi Ferrell,CLE,2,20.2,4,10.5,0.381,1.5,4.5,0.333,0,1,0,1.5,2,1.5,2,3.5,2.5,1.5,0.5,9.5
9,"Larry Nance, Jr.",CLE,35,31.2,3.7,7.8,0.471,1.2,3.3,0.36,0.9,1.4,0.612,1.6,2.1,1.5,5.2,6.7,3.1,1.7,0.5,9.3
10,Isaiah Hartenstein,CLE,14,18.7,3.5,5.6,0.628,0.1,0.4,0.4,1.6,2.4,0.667,1.5,2.9,1.6,4.9,6.6,2.4,0.5,1.3,8.7
11,Isaac Okoro,CLE,55,31.8,3,7.2,0.422,0.8,2.8,0.299,1.3,1.8,0.72,1.3,2.8,0.9,1.8,2.8,1.8,1,0.4,8.2
12,JaVale McGee,CLE,33,15.2,3.4,6.5,0.521,0.2,0.6,0.25,1.1,1.7,0.655,1.4,2.4,1.6,3.5,5.2,1,0.5,1.2,8
13,Damyean Dotson,CLE,35,18.8,2.5,6.3,0.394,0.9,3.3,0.278,0.6,0.9,0.688,0.8,0.9,0.1,1.9,2,2.1,0.4,0.1,6.5
14,Quinn Cook,CLE,7,13.6,2.4,6,0.405,0.9,1.9,0.462,0.4,0.4,1,0.6,1.1,0.3,1.4,1.7,1.9,0.4,0,6.1
15,Dylan Windler,CLE,31,16.5,1.8,4.2,0.438,0.8,2.5,0.338,0.7,0.9,0.778,1,1.2,0.6,2.8,3.5,1.1,0.6,0.4,5.2
16,Dean Wade,CLE,51,16.8,1.8,4.3,0.427,1.1,2.9,0.362,0.3,0.4,0.762,0.4,1.1,0.5,2.5,3,1.1,0.5,0.4,5.1
17,Lamar Stevens,CLE,40,12.5,1.6,3.4,0.456,0.1,0.6,0.16,0.9,1.3,0.725,0.6,1.3,0.6,1.8,2.4,0.6,0.4,0.3,4.1
18,Dante Exum,CLE,6,19.4,1.7,4.3,0.385,0.3,1.8,0.182,0.2,0.3,0.5,1.2,1.5,0.3,2.5,2.8,2.2,0.7,0.3,3.8
19,Thon Maker,CLE,8,9.6,1.2,2.2,0.556,0,0.2,0,1.2,1.4,0.909,0.4,0.9,1,1.2,2.2,0.5,0.2,0.5,3.8
20,Matt Dellavedova,CLE,13,17.2,1.1,4.3,0.25,0.3,1.9,0.16,0.3,0.3,1,0.5,1.6,0.5,1.4,1.8,4.5,0.3,0.1,2.8
21,Brodric Thomas,CLE,16,9,0.8,2.7,0.279,0.2,1.3,0.19,0.8,1,0.812,0.5,0.8,0.1,0.8,0.9,0.6,0.4,0.2,2.6
22,Mfiondu Kabengele,CLE,4,6,0.5,1.2,0.4,0.2,1,0.25,0.5,0.5,1,0.2,1,0,1.2,1.2,0.2,0.5,0,1.8
23,Marques Bolden,CLE,6,4.8,0.2,0.5,0.333,0,0,0,0.8,1.3,0.625,0.3,0,0.5,0.5,1,0,0.3,0.3,1.2
1,Luka Doncic,DAL,54,35.2,10.1,20.9,0.483,3,8.3,0.359,5.3,7.3,0.727,4.3,2.3,0.8,7.2,8,8.8,1,0.6,28.5
2,Kristaps Porzingis,DAL,39,31.4,7.6,16.1,0.474,2.2,6.2,0.362,2.9,3.4,0.85,1.3,2.7,2,7.3,9.3,1.6,0.5,1.5,20.4
3,Tim Hardaway Jr.,DAL,58,28.3,5.5,12.7,0.432,2.8,7.3,0.38,1.8,2.3,0.791,0.9,1.5,0.3,3,3.3,1.7,0.4,0.2,15.5
4,Jalen Brunson,DAL,55,25.5,4.8,9.1,0.525,1.1,2.9,0.391,1.9,2.5,0.785,1.3,1.7,0.5,3.2,3.6,3.5,0.5,0,12.6
5,Josh Richardson,DAL,48,31.7,4.5,10.4,0.429,1.5,4.8,0.316,1.8,2,0.905,1.4,2.4,0.9,2.6,3.5,2.8,0.9,0.4,12.2
6,Dorian Finney-Smith,DAL,48,32.3,3.6,7.8,0.458,2,5,0.39,0.5,0.6,0.806,0.6,2.4,1.7,3.8,5.5,1.5,0.9,0.4,9.6
7,Maxi Kleber,DAL,43,27.7,2.3,5.6,0.414,1.8,4.3,0.413,0.7,0.8,0.914,0.7,2.3,1,4.5,5.4,1.4,0.6,0.7,7.1
8,Trey Burke,DAL,49,14.3,2.4,5.4,0.444,1,2.7,0.362,0.7,0.8,0.85,0.5,1,0.1,0.8,0.9,1.3,0.6,0.1,6.5
9,J.J. Redick,DAL,7,13.4,2.1,4.6,0.469,1.6,3,0.524,0.3,0.4,0.667,1.1,0.6,0.1,1.3,1.4,0.7,0.1,0.1,6.1
10,James Johnson,DAL,29,17.4,2.3,5,0.462,0.5,2.1,0.25,0.6,1,0.586,0.9,2,0.5,2.5,3,1.7,0.8,0.8,5.7
11,Willie Cauley-Stein,DAL,40,16.9,2.2,3.5,0.627,0,0.2,0.111,1.1,1.7,0.657,0.5,2.4,1.1,3.1,4.2,0.7,0.3,0.8,5.6
12,Dwight Powell,DAL,45,14.9,1.8,3.2,0.576,0.1,0.4,0.25,1.4,1.9,0.774,0.6,2.2,1.2,2.3,3.5,0.8,0.6,0.3,5.2
13,Boban Marjanovic,DAL,24,9,2,4.2,0.48,0,0.2,0,0.8,1.1,0.769,0.4,1,1.6,2.8,4.4,0.3,0,0.2,4.9
14,Nicolo Melli,DAL,12,14.5,1.2,2.9,0.4,0.6,1.8,0.333,0.3,0.4,0.8,0.2,1.8,0.5,2.2,2.7,0.7,0.2,0.2,3.2
15,Josh Green,DAL,28,10.1,0.9,2.1,0.433,0.1,0.6,0.118,0.3,0.5,0.6,0.5,0.7,0.6,1.2,1.9,0.5,0.2,0.1,2.2
16,Wesley Iwundu,DAL,23,12.5,0.7,2.3,0.327,0.1,1,0.13,0.5,0.6,0.857,0.3,1.1,0.3,1.7,1.9,0.4,0.4,0.1,2.1
17,Nate Hinton,DAL,14,3.4,0.6,1.4,0.4,0.1,0.4,0.167,0.3,0.4,0.667,0.3,0.2,0.1,0.3,0.4,0.3,0.3,0.1,1.5
18,Tyrell Terry,DAL,11,5.1,0.5,1.5,0.312,0,0.6,0,0.1,0.3,0.333,0.2,0.2,0,0.5,0.5,0.5,0.5,0,1
19,Tyler Bey,DAL,11,3.5,0.4,1.1,0.333,0,0.1,0,0.2,0.4,0.5,0,0.4,0.5,0.7,1.2,0.1,0,0.1,0.9
1,Nikola Jokic,DEN,60,35.3,10.3,18.2,0.568,1.4,3.3,0.405,4.2,5,0.853,3.1,2.6,2.9,8,10.9,8.7,1.4,0.7,26.2
2,Jamal Murray,DEN,48,35.5,7.9,16.5,0.477,2.7,6.6,0.408,2.8,3.2,0.869,2.2,2,0.8,3.3,4,4.8,1.3,0.3,21.2
3,"Michael Porter, Jr.",DEN,50,31.1,6.9,12.8,0.54,2.6,6,0.443,1.7,2.2,0.775,1.1,2,1.7,5.9,7.6,1,0.6,1,18.2
4,Will Barton,DEN,56,31,4.6,10.9,0.426,1.8,4.6,0.381,1.7,2.2,0.785,1.7,1.7,0.7,3.3,4,3.2,0.9,0.4,12.7
5,Aaron Gordon,DEN,15,26.5,4.3,8.3,0.52,0.9,2.9,0.295,1.4,1.9,0.75,1.3,1.4,1.3,3.5,4.8,2.5,0.8,0.6,10.9
6,Monte Morris,DEN,44,26.1,4,8.3,0.477,1.1,3,0.377,1.3,1.6,0.789,0.7,1,0.2,1.9,2.2,3.2,0.7,0.3,10.3
7,Gary Harris,DEN,19,30.6,3.6,8.2,0.442,1.3,3.9,0.32,1.2,1.6,0.733,0.7,1.9,0.7,1.8,2.5,1.7,0.9,0.2,9.7
8,Paul Millsap,DEN,47,21.2,3.3,6.9,0.486,0.9,2.6,0.358,1.3,1.8,0.706,0.9,2,1.4,3.4,4.8,1.7,0.8,0.7,8.9
9,JaMychal Green,DEN,47,18.7,3,6.4,0.472,1.4,3.4,0.411,0.8,1,0.844,0.9,2.5,1.5,3.4,4.9,0.8,0.5,0.4,8.2
10,P.J. Dozier,DEN,45,21,2.9,6.7,0.426,0.9,2.8,0.333,0.9,1.4,0.639,0.9,1.8,0.8,3,3.8,1.8,0.7,0.4,7.5
11,Austin Rivers,DEN,3,21.8,2.3,5.3,0.438,1,3.3,0.3,1,1.3,0.75,0.3,1.7,0.3,2.7,3,1.7,0,0.3,6.7
12,Facundo Campazzo,DEN,54,19.9,1.6,4.3,0.375,1.1,3.1,0.37,0.9,1.1,0.845,1,2.1,0.3,1.4,1.6,3.1,1,0.2,5.3
13,JaVale McGee,DEN,5,11,2,3.6,0.556,0,0.2,0,0.4,0.8,0.5,1.6,3,1.4,3,4.4,0.2,0.4,0.6,4.4
14,Isaiah Hartenstein,DEN,30,9.1,1.4,2.7,0.512,0,0,0,0.7,1.2,0.611,0.7,2,1.3,1.5,2.8,0.5,0.4,0.7,3.5
15,Zeke Nnaji,DEN,38,9.4,1.2,2.4,0.484,0.5,1.4,0.385,0.3,0.4,0.8,0.2,0.7,0.3,1.2,1.5,0.2,0.2,0.1,3.2
16,Shaquille Harrison,DEN,5,13.4,1.4,2.6,0.538,0,0.2,0,0.2,0.2,1,0.4,1.2,0.2,0.6,0.8,0.4,1.2,0,3
17,R.J. Hampton,DEN,25,9.3,1,2.4,0.417,0.2,0.7,0.278,0.4,0.5,0.75,0.4,0.9,0.4,1.6,2,0.6,0.2,0.1,2.6
18,Bol Bol,DEN,26,4.8,0.9,1.7,0.511,0.3,0.8,0.45,0.3,0.5,0.583,0.5,0.5,0,0.7,0.7,0.3,0.1,0.4,2.4
19,Vlatko Cancar,DEN,33,5.5,0.5,1.3,0.405,0.2,0.7,0.227,0.2,0.2,0.875,0.4,0.4,0.2,0.9,1.1,0.3,0.3,0.1,1.4
20,Markus Howard,DEN,29,3.3,0.4,1.7,0.26,0.2,1.2,0.171,0,0.1,0.5,0.2,0.5,0,0.4,0.4,0.3,0.1,0,1.1
21,Gary Clark,DEN,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
22,Greg Whittington,DEN,4,3,0,0.8,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Jerami Grant,DET,52,34.2,7.5,17.4,0.429,2.2,6.2,0.354,5.4,6.3,0.852,2,2.4,0.7,4,4.7,2.9,0.7,1.1,22.6
2,Derrick Rose,DET,15,22.8,5.3,12.3,0.429,0.9,2.6,0.333,2.8,3.3,0.84,1.9,1.1,0.4,1.5,1.9,4.2,1.2,0.3,14.2
3,Josh Jackson,DET,56,25,4.9,11.6,0.427,1.2,4.1,0.304,2.5,3.4,0.731,2.2,2.9,0.9,3.1,4,2.2,0.9,0.7,13.7
4,Blake Griffin,DET,20,31.3,4,11.1,0.365,1.9,6.2,0.315,2.2,3.1,0.71,1.6,2.1,0.3,4.8,5.2,3.9,0.7,0.1,12.2
5,Cory Joseph,DET,15,26.3,4.5,8.9,0.504,0.7,1.9,0.393,2.1,2.4,0.861,1.8,2.1,0.5,2.7,3.2,5.5,1.2,0.4,11.7
6,Saddiq Bey,DET,59,25.9,3.7,9.1,0.403,2.3,6.2,0.375,1.7,1.9,0.868,0.8,1.6,0.6,3.6,4.2,1.2,0.7,0.1,11.3
7,Delon Wright,DET,36,29.2,3.8,8.1,0.464,0.9,2.5,0.348,2,2.5,0.789,1.3,1.2,1,3.5,4.6,5,1.6,0.5,10.4
8,Mason Plumlee,DET,54,26.9,4.1,6.8,0.609,0,0.1,0,2.1,3.1,0.673,1.9,3.4,2.6,6.8,9.4,3.6,0.8,0.9,10.4
