Player,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Malachi Flynn,TOR,22,1-Jun,175,San Diego State,USA,2020,1,29,36,5.9,2.1,2.6,-1.7,1.20%,10.40%,17.10%,47.10%,23.20%
Luke Kornet,BOS,25,2-Jul,250,Vanderbilt,USA,Undrafted,Undrafted,Undrafted,24,2.8,1.8,0.6,6.6,3.20%,14.50%,13.20%,48.80%,8.50%
Luke Kennard,LAC,24,5-Jun,206,Duke,USA,2017,1,12,56,8.4,2.7,1.7,0.1,1.30%,12.40%,16.60%,61.20%,12.10%
Luka Samanic,SAS,21,10-Jun,227,None,Croatia,2019,1,19,27,3.3,2,0.5,-2.6,4.90%,16.30%,17.90%,49.70%,7.80%
Luka Doncic,DAL,22,7-Jun,230,None,Slovenia,2018,1,3,55,28.4,8,8.7,3,2.20%,19.80%,34.80%,59.00%,42.50%
Luguentz Dort,OKC,22,3-Jun,215,Arizona State,Canada,Undrafted,Undrafted,Undrafted,46,14,3.7,1.6,-6.6,2.20%,9.60%,21.40%,52.60%,8.40%
Lou Williams,ATL,34,1-Jun,175,None,USA,2005,2,45,56,12.2,2,3.4,2.7,1.40%,7.30%,24.70%,52.60%,22.60%
Lonzo Ball,NOP,23,6-Jun,190,UCLA,USA,2017,1,2,47,14.1,4.2,5.7,0.8,1.70%,11.70%,19.70%,55.90%,24.40%
Lonnie Walker IV,SAS,22,4-Jun,204,Miami,USA,2018,1,18,48,10.7,2.5,1.6,-4.5,0.80%,9.40%,19.80%,51.70%,9.40%
LeBron James,LAL,36,9-Jun,250,None,USA,2003,1,1,41,25.4,7.9,7.9,9.8,1.80%,20.60%,31.00%,60.50%,39.20%
Lauri Markkanen,CHI,23,Jul-00,240,Arizona,Finland,2017,1,7,41,14.3,5.2,0.9,-2.6,2.60%,16.90%,20.10%,61.40%,5.20%
Larry Nance Jr.,CLE,28,7-Jun,245,Wyoming,USA,2015,1,27,35,9.3,6.7,3.1,-5.6,4.90%,16.90%,13.90%,55.70%,14.50%
Langston Galloway,PHX,29,1-Jun,200,St. Joseph's (PA),USA,Undrafted,Undrafted,Undrafted,35,4.7,1,0.7,6.3,1.40%,7.90%,15.70%,62.90%,8.50%
Landry Shamet,BKN,24,4-Jun,190,Wichita State,USA,2018,1,26,50,9.3,1.8,1.5,-0.1,0.90%,7.00%,17.00%,58.30%,9.50%
Lamar Stevens,CLE,23,6-Jun,230,Penn State,USA,Undrafted,Undrafted,Undrafted,40,4.1,2.4,0.6,-10.4,4.40%,14.50%,15.20%,52.10%,7.90%
LaMelo Ball,CHA,19,6-Jun,180,None,USA,2020,1,3,41,15.9,5.9,6.1,-2.2,4.40%,15.90%,24.20%,56.20%,31.90%
LaMarcus Aldridge,BKN,35,11-Jun,250,University of Texas at Austin,USA,2006,1,2,26,13.5,4.5,1.9,-2.8,2.70%,14.80%,22.40%,55.60%,10.90%
Kyrie Irving,BKN,29,2-Jun,195,Duke,Australia,2011,1,1,45,27.3,5,6.5,6.1,3.10%,10.50%,29.90%,61.30%,28.60%
Kyle Lowry,TOR,35,Jun-00,196,Villanova,USA,2006,1,24,43,16.5,5.5,7.3,-0.2,2.20%,13.80%,20.80%,58.00%,30.80%
Kyle Kuzma,LAL,25,10-Jun,221,Utah,USA,2017,1,27,58,12.9,6.4,1.7,0.1,5.90%,16.20%,20.30%,54.00%,9.20%
Kyle Guy,SAC,23,1-Jun,167,Virginia,USA,2019,2,55,24,2.9,1,0.9,9,2.20%,12.20%,18.30%,48.80%,15.80%
Kyle Anderson,MEM,27,9-Jun,230,UCLA,USA,2014,1,30,58,12.2,6,3.5,0.6,2.90%,18.20%,18.10%,57.10%,17.80%
Kristaps Porzingis,DAL,25,3-Jul,240,None,Latvia,2015,1,4,39,20.4,9.3,1.6,1.1,6.20%,22.30%,26.10%,57.90%,8.30%
Kris Dunn,ATL,27,3-Jun,205,Providence,USA,2016,1,5,1,0,1,0,-14.3,0.00%,7.70%,20.00%,0.00%,0.00%
Kostas Antetokounmpo,LAL,23,10-Jun,200,Dayton,Greece,2018,2,60,14,0.9,1.4,0.1,27,6.50%,22.70%,17.60%,38.20%,2.30%
Kira Lewis Jr.,NOP,20,1-Jun,170,Alabama,USA,2020,1,13,43,6.4,1.2,2.3,1.7,1.20%,6.00%,18.10%,48.30%,19.80%
Killian Tillie,MEM,23,9-Jun,220,Gonzaga,France,Undrafted,Undrafted,Undrafted,14,2.6,1.2,0.3,0,4.50%,8.10%,15.30%,40.70%,4.80%
Killian Hayes,DET,19,5-Jun,195,None,France,2020,1,7,17,5.7,2.2,4.4,-7.5,1.20%,8.30%,18.20%,39.80%,27.20%
Khris Middleton,MIL,29,7-Jun,222,Texas A&M,USA,2012,2,39,58,20.1,5.9,5.4,5.4,2.50%,14.20%,24.30%,59.00%,22.90%
Khem Birch,TOR,28,9-Jun,233,UNLV,Canada,Undrafted,Undrafted,Undrafted,56,5.9,5.2,1.1,-2,10.50%,12.90%,12.20%,53.70%,7.80%
Kevon Looney,GSW,25,9-Jun,222,UCLA,USA,2015,1,30,50,3.9,4.8,1.9,4.7,10.60%,15.80%,9.70%,57.00%,14.00%
Kevin Porter Jr.,HOU,20,4-Jun,203,Southern California,USA,2019,1,30,21,15.5,3.8,6.2,-12.7,1.90%,10.20%,24.20%,51.70%,29.20%
Kevin Love,CLE,32,8-Jun,251,UCLA,USA,2008,1,5,18,11.7,6.4,2.3,-0.3,2.90%,25.20%,22.40%,53.80%,14.00%
Kevin Knox II,NYK,21,7-Jun,215,Kentucky,USA,2018,1,9,38,4.2,1.6,0.5,-3.4,2.10%,10.20%,15.00%,54.10%,6.10%
Kevin Huerter,ATL,22,7-Jun,190,Maryland,USA,2018,1,19,62,12.3,3.3,3.5,0.2,1.80%,8.80%,16.80%,55.10%,16.20%
Kevin Durant,BKN,32,10-Jun,240,Texas-Austin,USA,2007,1,2,25,27.5,6.7,5.2,10.9,1.20%,17.70%,30.90%,67.40%,23.80%
Kenyon Martin Jr.,HOU,20,6-Jun,215,None,USA,2020,2,52,34,6.9,4.6,0.6,-7.9,7.40%,14.20%,13.70%,57.90%,4.70%
Kentavious Caldwell-Pope,LAL,28,5-Jun,204,Georgia,USA,2013,1,8,56,9.7,2.7,1.6,3.5,1.60%,8.40%,14.30%,58.70%,8.00%
Kent Bazemore,GSW,31,4-Jun,195,Old Dominion,USA,Undrafted,Undrafted,Undrafted,57,6.7,3.1,1.6,5.8,2.30%,13.70%,16.30%,56.60%,11.80%
Kenrich Williams,OKC,26,6-Jun,210,TCU,USA,Undrafted,Undrafted,Undrafted,61,7.6,4.2,2.2,-4.3,5.90%,12.90%,14.40%,59.50%,14.90%
Kendrick Nunn,MIA,25,2-Jun,190,Oakland,USA,Undrafted,Undrafted,Undrafted,47,14,3.2,2.8,-0.4,1.30%,9.80%,20.60%,58.30%,15.00%
Kemba Walker,BOS,30,Jun-00,184,Connecticut,USA,2011,1,9,39,18.2,3.9,5,2.8,1.00%,11.40%,25.10%,54.60%,23.90%
Kelly Oubre Jr.,GSW,25,7-Jun,203,Kansas,USA,2015,1,15,54,15.5,6,1.4,-3.5,4.60%,13.50%,21.40%,53.20%,6.80%
Kelly Olynyk,HOU,30,11-Jun,240,Gonzaga,Canada,2013,1,13,60,12.3,6.6,2.3,-1.9,3.90%,19.00%,17.80%,60.60%,12.40%
Keljin Blevins,POR,25,4-Jun,200,Montana State,USA,2019,,,10,0.4,0.2,0.4,-9.5,0.00%,3.10%,13.20%,14.30%,12.10%
Keldon Johnson,SAS,21,5-Jun,220,Kentucky,USA,2019,1,29,57,12.9,6.4,1.8,-1.8,4.90%,17.00%,18.70%,55.90%,8.60%
Kelan Martin,IND,25,5-Jun,230,Butler,USA,Undrafted,Undrafted,Undrafted,23,2.1,1.3,0.3,20.8,6.40%,14.80%,18.00%,47.90%,8.20%
Keita Bates-Diop,SAS,25,8-Jun,229,Ohio State,USA,2018,2,48,22,2.2,1.1,0.4,-13.7,3.20%,12.60%,14.40%,49.40%,9.60%
Kawhi Leonard,LAC,29,7-Jun,225,San Diego State,USA,2011,1,15,46,25.7,6.7,5.1,11.8,3.50%,16.50%,28.60%,62.20%,23.30%
Karl-Anthony Towns,MIN,25,11-Jun,248,Kentucky,USA,2015,1,1,40,24.7,10.9,4.5,-2.6,7.40%,24.40%,28.20%,61.60%,21.60%
Karim Mane,ORL,20,3-Jun,190,None,Senegal,Undrafted,Undrafted,Undrafted,10,1.1,1.4,0.4,-12,1.00%,15.10%,8.50%,36.20%,6.10%
KZ Okpala,MIA,21,8-Jun,215,Stanford,USA,2019,2,32,31,2.4,1.9,0.5,-9.5,4.50%,10.80%,11.70%,40.80%,5.60%
Juwan Morgan,UTA,24,7-Jun,232,Indiana,USA,Undrafted,Undrafted,Undrafted,23,1.2,1,0.3,-31,5.10%,13.40%,9.90%,55.80%,10.40%
Jusuf Nurkic,POR,26,11-Jun,290,None,Bosnia and He...,2014,1,16,25,10.2,8.3,3.4,3.8,8.70%,26.50%,20.60%,53.90%,21.30%
Justise Winslow,MEM,25,6-Jun,222,Duke,USA,2015,1,10,21,6.7,4.3,1.9,-4.8,3.10%,17.60%,21.10%,37.90%,13.10%
Justin Robinson,OKC,23,1-Jun,195,Virginia Tech,USA,2019,,,9,2.3,0.8,1,-22,1.10%,6.70%,11.10%,45.30%,15.00%
Justin Patton,HOU,23,11-Jun,241,Creighton,USA,2017,1,16,13,5.4,3.8,1.1,-14.1,4.70%,14.20%,12.80%,48.80%,8.40%
Justin James,SAC,24,7-Jun,190,Wyoming,USA,2019,2,40,26,1.8,0.4,0.6,-7.8,1.70%,5.10%,14.20%,48.60%,13.90%
Justin Jackson,MIL,26,8-Jun,220,North Carolina,USA,2017,1,15,33,7.2,2.2,1.5,-3.7,2.40%,9.90%,19.90%,51.90%,14.40%
Justin Holiday,IND,32,6-Jun,180,Washington,USA,Undrafted,Undrafted,Undrafted,60,10.5,3.7,1.6,-0.8,1.50%,10.00%,13.90%,55.90%,7.00%
Julius Randle,NYK,26,8-Jun,250,Kentucky,USA,2014,1,7,61,23.9,10.4,6,3,3.40%,23.30%,28.00%,57.10%,26.40%
Juancho Hernangomez,MIN,25,9-Jun,214,None,Spain,2016,1,15,43,7,3.9,0.6,-5.6,4.70%,18.20%,16.40%,56.30%,5.40%
Juan Toscano-Anderson,GSW,28,6-Jun,209,Marquette,USA,Undrafted,Undrafted,Undrafted,42,5.3,4,2.4,4,3.00%,16.90%,11.00%,68.20%,17.00%
Jrue Holiday,MIL,30,3-Jun,205,UCLA,USA,2009,1,17,48,17.2,4.5,5.7,9.4,3.70%,9.40%,21.30%,59.70%,24.50%
Josh Richardson,DAL,27,5-Jun,200,Tennessee,USA,2015,2,40,48,12.3,3.5,2.8,-1,2.70%,8.00%,17.50%,54.20%,12.50%
Josh Okogie,MIN,22,4-Jun,213,Georgia Tech,Nigeria,2018,1,20,49,5.7,2.6,1.1,-6.1,4.20%,7.70%,12.10%,52.40%,6.90%
Josh Jackson,DET,24,8-Jun,207,Kansas,USA,2017,1,4,56,13.7,4,2.2,-1.8,3.50%,12.20%,25.50%,52.20%,14.40%
Josh Hart,NOP,26,5-Jun,215,Villanova,USA,2017,1,30,47,9.2,8,2.3,-0.2,3.90%,23.40%,13.30%,56.60%,10.90%
Josh Hall,OKC,20,9-Jun,190,None,USA,Undrafted,Undrafted,Undrafted,14,2.6,2,1.3,-10.2,0.50%,14.00%,17.40%,32.00%,15.10%
Josh Green,DAL,20,5-Jun,200,Arizona,Australia,2020,1,18,29,2.2,1.9,0.5,0.9,5.90%,12.00%,11.50%,47.40%,6.40%
Jordan Poole,GSW,21,4-Jun,194,Michigan,USA,2019,1,28,40,10.9,1.6,1.9,-0.3,1.00%,7.00%,23.90%,56.90%,16.40%
Jordan Nwora,MIL,22,8-Jun,225,Louisville,USA,2020,2,45,25,5.5,1.8,0.3,5,1.80%,14.50%,24.90%,58.40%,4.50%
Jordan McLaughlin,MIN,25,11-May,185,Southern California,USA,Undrafted,Undrafted,Undrafted,42,5,2.1,4.1,-6.7,1.90%,8.70%,13.30%,48.00%,30.80%
Jordan Clarkson,UTA,28,4-Jun,194,Missouri,USA,2014,2,46,57,17.4,4,2.3,8.3,2.70%,11.70%,28.20%,54.40%,14.10%
Jordan Bone,ORL,23,2-Jun,180,Tennessee,USA,2019,2,57,14,4,1.7,1.3,-14.3,1.80%,10.20%,12.10%,51.90%,14.30%
Jordan Bell,WAS,26,8-Jun,216,Oregon,USA,2017,2,38,5,2.8,3.8,1,-20.2,7.10%,19.70%,14.40%,35.00%,11.90%
Jontay Porter,MEM,21,11-Jun,240,Missouri,USA,Undrafted,Undrafted,Undrafted,8,1.4,1.1,0.1,-10.5,5.70%,25.00%,22.70%,53.30%,10.00%
Jonas Valanciunas,MEM,28,11-Jun,265,None,Lithuania,2011,1,5,52,17,12.3,1.8,3.8,13.50%,28.90%,22.30%,62.40%,9.70%
John Wall,HOU,30,3-Jun,210,Kentucky,USA,2010,1,1,40,20.6,3.2,6.9,-5.7,1.20%,8.40%,31.60%,50.30%,36.50%
John Konchar,MEM,25,5-Jun,210,Indiana-Purdue Fort Wayne,USA,Undrafted,Undrafted,Undrafted,35,3.7,2.8,1.1,-0.4,4.90%,15.70%,11.80%,56.70%,10.40%
John Collins,ATL,23,9-Jun,235,Wake Forest,USA,2017,1,19,53,17.8,7.7,1.3,3.1,6.80%,18.20%,21.40%,63.40%,7.00%
Joel Embiid,PHI,27,Jul-00,280,Kansas,Cameroon,2014,1,3,42,29.8,11,3.1,11.2,7.70%,25.90%,35.50%,63.80%,16.60%
Joe Ingles,UTA,33,8-Jun,220,None,Australia,Undrafted,Undrafted,Undrafted,56,12.2,3.7,4.4,11.5,1.50%,11.10%,15.90%,70.00%,22.40%
Joe Harris,BKN,29,6-Jun,220,Virginia,USA,2014,2,33,61,14.4,3.6,1.9,7.2,2.20%,9.00%,15.80%,67.40%,8.00%
Jimmy Butler,MIA,31,7-Jun,230,Marquette,USA,2011,1,30,45,21.5,7,7.3,3.9,5.50%,15.30%,26.10%,60.10%,36.10%
Jevon Carter,PHX,25,1-Jun,200,West Virginia,USA,2018,2,32,49,3.8,1.4,1.1,1.9,2.10%,10.90%,14.40%,55.10%,13.70%
Jerome Robinson,WAS,24,4-Jun,190,Boston College,USA,2018,1,13,17,4.9,2.2,1.5,-13.1,1.10%,10.50%,16.10%,40.00%,11.40%
Jeremy Lamb,IND,28,5-Jun,180,Connecticut,USA,2012,1,12,36,10.1,3.6,1.5,-0.3,3.20%,13.70%,18.00%,58.70%,9.40%
Jerami Grant,DET,27,8-Jun,210,Syracuse,USA,2014,2,39,53,22.5,4.6,2.8,-2.7,1.80%,11.80%,27.80%,55.60%,14.60%
Jeff Teague,MIL,32,3-Jun,195,Wake Forest,USA,2009,1,19,46,6.6,1.7,2.4,3.1,1.60%,7.70%,16.80%,54.40%,17.80%
Jeff Green,BKN,34,8-Jun,235,Georgetown,USA,2007,1,5,57,10.4,3.7,1.6,3.6,1.80%,11.40%,15.00%,60.00%,8.10%
Jayson Tatum,BOS,23,8-Jun,210,Duke,USA,2017,1,3,55,25.7,7.4,4.3,3.2,2.00%,19.10%,29.60%,56.90%,19.60%
Jaylen Nowell,MIN,21,4-Jun,201,Washington,USA,2019,2,43,38,9.5,2.3,1.6,-7.1,2.20%,9.70%,20.80%,53.00%,13.40%
Jaylen Hoard,OKC,22,8-Jun,216,Wake Forest,France,Undrafted,Undrafted,Undrafted,11,5.6,3.5,0.8,-11.1,7.70%,11.40%,16.60%,51.70%,7.60%
Jaylen Brown,BOS,24,6-Jun,223,California,USA,2016,1,3,54,24.4,5.8,3.4,2,3.50%,13.20%,28.90%,59.20%,16.50%
Jaylen Adams,MIL,24,Jun-00,225,St. Bonaventure,USA,Undrafted,Undrafted,Undrafted,7,0.3,0.4,0.3,-31,0.00%,14.30%,17.80%,12.50%,20.00%
Jaxson Hayes,NOP,20,11-Jun,220,Texas-Austin,USA,2019,1,8,49,6.3,3.9,0.5,0.4,8.30%,16.40%,14.20%,68.90%,5.40%
Javonte Green,CHI,27,4-Jun,205,Radford,USA,Undrafted,Undrafted,Undrafted,31,3.5,1.9,0.4,-5,5.70%,10.30%,12.00%,59.20%,4.80%
Jarrett Culver,MIN,22,6-Jun,195,Texas Tech,USA,2019,1,6,34,5.3,3.1,0.7,-10.7,5.90%,13.20%,17.90%,47.60%,7.90%
Jarrett Allen,CLE,23,11-Jun,243,Texas-Austin,USA,2017,1,22,52,13.2,9.8,1.6,-4.3,10.50%,23.00%,16.50%,68.50%,8.40%
Jarrell Brantley,UTA,24,5-Jun,250,College of Charleston,USA,2019,2,50,21,1.9,1,0.3,-4.5,5.80%,12.10%,16.40%,57.60%,10.30%
Jarred Vanderbilt,MIN,22,9-Jun,214,Kentucky,USA,2018,2,41,54,5.1,5.4,1.2,-4.9,9.20%,20.90%,12.40%,59.50%,10.40%
Jaren Jackson Jr.,MEM,21,11-Jun,242,Michigan State,USA,2018,1,4,3,16,6,1,2.6,6.90%,21.90%,30.20%,57.10%,6.70%
Jared Harper,NYK,23,10-May,175,Auburn,USA,Undrafted,Undrafted,Undrafted,4,0.5,0,0,-18.6,0.00%,0.00%,20.00%,34.70%,0.00%
Jared Dudley,LAL,35,6-Jun,237,Boston College,USA,2007,1,22,11,0.5,1.7,0.5,-0.7,4.90%,20.00%,4.80%,42.90%,8.30%
James Wiseman,GSW,20,Jul-00,240,Memphis,USA,2020,1,2,39,11.5,5.8,0.7,-8.8,6.30%,19.00%,23.10%,55.20%,5.00%
James Nunnally,NOP,30,7-Jun,205,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,4,2.8,1,0,-20.9,3.00%,12.50%,13.20%,68.80%,0.00%
James Johnson,NOP,34,7-Jun,240,Wake Forest,USA,2009,1,16,40,6.8,3.3,2,-4,2.60%,12.80%,16.30%,51.40%,14.10%
James Harden,BKN,31,5-Jun,220,Arizona State,USA,2009,1,3,42,25.2,8,10.9,2.7,2.40%,19.10%,28.60%,61.60%,43.90%
James Ennis III,ORL,30,6-Jun,215,California State-Long Beach,USA,2013,2,50,39,8.6,4.1,1.5,-4.7,4.20%,12.20%,13.70%,61.50%,8.70%
Jamal Murray,DEN,24,3-Jun,215,Kentucky,Canada,2016,1,7,48,21.2,4,4.8,8,2.30%,9.50%,24.40%,59.20%,19.70%
Jalen Smith,PHX,21,10-Jun,215,Maryland,USA,2020,1,10,21,1.2,0.9,0.1,-1.5,6.70%,13.10%,17.20%,39.90%,3.50%
Jalen McDaniels,CHA,23,9-Jun,205,San Diego State,USA,2019,2,52,35,6.5,2.8,1,-6.3,3.80%,12.80%,17.90%,53.50%,9.20%
Jalen Lecque,IND,20,4-Jun,185,None,USA,Undrafted,Undrafted,Undrafted,4,1.3,1.3,0.5,-14.8,8.30%,20.00%,26.30%,24.20%,33.30%
Jalen Harris,TOR,22,5-Jun,195,Nevada,USA,2020,2,59,4,0.8,0.8,0.5,29.8,5.00%,16.70%,12.80%,37.50%,14.30%
Jalen Brunson,DAL,24,1-Jun,190,Villanova,USA,2018,2,33,56,12.5,3.6,3.5,4.3,1.80%,11.70%,19.40%,61.60%,20.80%
Jakob Poeltl,SAS,25,1-Jul,245,Utah,Austria,2016,1,9,59,8.5,8,1.9,3.9,11.90%,17.30%,13.10%,62.10%,9.40%
Jake Layman,MIN,27,8-Jun,209,Maryland,USA,2016,2,47,42,5.3,1.5,0.7,-5.7,2.00%,8.20%,14.70%,57.80%,7.00%
Jahmi'us Ramsey,SAC,19,3-Jun,190,Texas Tech,USA,2020,2,43,5,1.4,0.8,0.2,26.4,0.00%,22.20%,13.30%,70.00%,6.30%
Jahlil Okafor,DET,25,10-Jun,270,Duke,USA,2015,1,3,19,4.4,2.1,0.6,-15.6,6.10%,11.60%,15.80%,63.30%,9.80%
Jae'Sean Tate,HOU,25,4-Jun,230,Ohio State,USA,Undrafted,Undrafted,Undrafted,61,11,5.3,2.3,-3.3,6.20%,11.40%,15.30%,58.30%,11.60%
Jae Crowder,PHX,30,6-Jun,235,Marquette,USA,2012,2,34,55,9.8,4.8,2.1,6,2.00%,15.00%,15.10%,56.70%,10.40%
Jaden McDaniels,MIN,20,9-Jun,185,Washington,USA,2020,1,28,55,6.8,3.7,1.1,-4.3,3.20%,12.10%,12.20%,54.50%,6.30%
Jabari Parker,BOS,26,8-Jun,245,Duke,USA,2014,1,2,8,4.9,3,0.9,-6.7,6.40%,16.70%,17.10%,56.10%,11.70%
JaVale McGee,DEN,33,Jul-00,270,Nevada-Reno,USA,2008,1,18,38,7.6,5.1,0.9,-6.2,10.10%,22.90%,23.40%,55.40%,10.60%
JaMychal Green,DEN,30,8-Jun,227,Alabama,USA,Undrafted,Undrafted,Undrafted,48,8.1,4.9,0.8,5,7.30%,18.50%,17.30%,60.20%,6.00%
JaKarr Sampson,IND,28,7-Jun,214,St. John's,USA,Undrafted,Undrafted,Undrafted,23,3.7,2.4,0.1,10.5,7.80%,15.90%,17.20%,49.40%,1.20%
Ja Morant,MEM,21,3-Jun,174,Murray State,USA,2019,1,2,52,19.7,3.9,7.3,2.2,2.70%,9.00%,27.30%,54.70%,32.30%
JJ Redick,DAL,36,3-Jun,200,Duke,USA,2006,1,11,38,8.2,1.6,1.2,-2.8,0.60%,8.70%,18.20%,58.40%,9.30%
Ivica Zubac,LAC,24,Jul-00,240,None,Croatia,2016,2,32,63,9.1,7.3,1.2,3.2,12.30%,20.00%,14.80%,68.40%,7.60%
Ish Smith,WAS,32,Jun-00,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted,33,5.9,3.2,4.3,1.8,2.20%,12.80%,15.10%,44.90%,27.60%
Isaiah Thomas,NOP,32,9-May,185,Washington,USA,2011,2,60,3,7.7,1.3,1.7,6.7,1.90%,5.20%,27.40%,41.20%,16.70%
Isaiah Stewart,DET,19,8-Jun,250,Washington,USA,2020,1,16,60,7.4,6.6,0.9,-0.3,11.30%,19.70%,14.40%,61.00%,6.60%
Isaiah Roby,OKC,23,8-Jun,230,Nebraska-Lincoln,USA,2019,2,45,50,9,5.7,1.9,-12.1,6.40%,16.70%,17.30%,56.40%,12.70%
Isaiah Joe,PHI,21,4-Jun,165,Arkansas,USA,2020,2,49,33,3.2,0.9,0.5,0.8,1.70%,7.70%,15.50%,47.30%,7.70%
Isaiah Hartenstein,CLE,22,Jul-00,250,None,Germany,2017,2,43,44,5.1,4,1.1,5.3,11.60%,21.00%,18.30%,60.00%,13.60%
Isaac Okoro,CLE,20,5-Jun,225,Auburn,USA,2020,1,5,56,8.4,2.8,1.8,-7.9,3.10%,6.20%,13.00%,51.60%,7.90%
Isaac Bonga,WAS,21,8-Jun,180,None,Germany,2018,2,39,37,2.1,1.8,0.6,-2.9,4.30%,10.00%,10.10%,47.80%,7.10%
Immanuel Quickley,NYK,21,3-Jun,190,Kentucky,USA,2020,1,25,57,11.6,2.2,2.1,6.4,2.10%,9.00%,24.90%,55.60%,17.50%
Iman Shumpert,BKN,30,5-Jun,212,Georgia Tech,USA,2011,1,17,2,1,0.5,0,-4.3,7.70%,0.00%,18.50%,25.00%,0.00%
Ignas Brazdeikis,PHI,22,6-Jun,221,Michigan,Canada,2019,2,47,5,0.4,0.8,0.2,6.7,5.30%,20.00%,16.20%,20.50%,10.00%
Henry Ellenson,TOR,24,10-Jun,240,Marquette,USA,2016,1,18,2,7.5,6,2.5,10.6,6.10%,20.50%,16.70%,47.60%,20.80%
Hassan Whiteside,SAC,31,Jul-00,265,Marshall,USA,2010,2,33,36,8.1,6,0.6,-8.1,10.90%,26.90%,22.70%,56.60%,5.80%
Harry Giles III,POR,23,11-Jun,240,Duke,USA,2017,1,20,30,2.9,3.9,0.8,-8.7,8.50%,25.40%,14.10%,50.80%,11.10%
Harrison Barnes,SAC,28,8-Jun,225,North Carolina,USA,2012,1,7,58,16.1,6.6,3.5,-1.8,3.10%,15.20%,16.90%,62.60%,12.80%
Hamidou Diallo,DET,22,5-Jun,202,Kentucky,USA,2018,2,45,47,10.9,4.9,2,-8.5,5.00%,15.10%,21.60%,53.00%,13.90%
Greg Whittington,DEN,28,8-Jun,210,Georgetown,USA,Undrafted,Undrafted,Undrafted,4,0,0,0,33.3,0.00%,0.00%,10.30%,0.00%,0.00%
Grayson Allen,MEM,25,4-Jun,198,Duke,USA,2018,1,21,47,11.1,3.3,2.1,0.4,1.40%,10.60%,16.60%,59.20%,11.30%
Grant Williams,BOS,22,6-Jun,236,Tennessee,USA,2019,1,22,53,4.4,2.9,1,-0.6,4.10%,11.00%,11.30%,53.50%,7.40%
Grant Riller,CHA,24,2-Jun,190,College of Charleston,USA,2020,2,56,5,2.8,0,0.6,-2.3,0.00%,0.00%,21.70%,77.80%,37.50%
Gorgui Dieng,SAS,31,10-Jun,252,Louisville,Senegal,2013,1,21,29,6.7,3.9,1.1,-4.3,6.90%,18.60%,16.20%,67.10%,11.60%
Gordon Hayward,CHA,31,7-Jun,225,Butler,USA,2010,1,9,44,19.6,5.9,4.1,0.7,2.40%,14.30%,23.50%,58.40%,18.90%
Goran Dragic,MIA,34,3-Jun,190,None,Slovenia,2008,2,45,41,12.9,3.5,4.4,0.6,1.80%,11.30%,23.40%,54.90%,27.50%
Goga Bitadze,IND,21,11-Jun,250,None,Georgia,2019,1,18,37,5.1,3.2,0.7,0,10.00%,16.10%,17.70%,54.70%,8.40%
Glenn Robinson III,SAC,27,6-Jun,222,Michigan,USA,2014,2,40,23,5.3,2,0.9,-17.3,2.80%,9.40%,13.50%,55.40%,7.50%
Giannis Antetokounmpo,MIL,26,11-Jun,242,None,Greece,2013,1,15,51,28.5,11.4,6,10.5,5.00%,26.80%,32.20%,63.20%,28.50%
Georges Niang,UTA,27,7-Jun,230,Iowa State,USA,2016,2,50,61,6.1,2.5,0.7,13,2.60%,12.70%,16.60%,58.90%,7.00%
George Hill,PHI,34,4-Jun,188,Indiana-Purdue Indianapolis,USA,2008,1,26,19,10.1,2,2.7,-2.8,2.40%,5.50%,16.70%,61.90%,16.60%
Gary Trent Jr.,TOR,22,5-Jun,209,Duke,USA,2018,2,37,55,15.2,2.5,1.4,-1.2,1.20%,6.80%,20.10%,54.10%,6.80%
Gary Payton II,GSW,28,3-Jun,195,Oregon State,USA,Undrafted,Undrafted,Undrafted,9,2.3,0.9,0,0,8.00%,17.60%,19.70%,82.30%,0.00%
Gary Harris,ORL,26,4-Jun,210,Michigan State,USA,2014,1,19,28,10.3,2.1,1.9,1.5,2.10%,5.30%,15.70%,51.70%,8.50%
Gary Clark,DEN,26,6-Jun,225,Cincinnati,USA,Undrafted,Undrafted,Undrafted,37,3.2,3.1,0.8,-7.8,4.50%,12.40%,9.80%,43.90%,6.40%
Garrison Mathews,WAS,24,5-Jun,215,Lipscomb,USA,Undrafted,Undrafted,Undrafted,55,5.7,1.5,0.5,-6.9,1.60%,6.50%,11.00%,63.20%,3.40%
Garrett Temple,CHI,34,5-Jun,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,45,7.8,2.8,2.2,3.5,1.90%,8.40%,13.00%,53.20%,10.00%
Gabe Vincent,MIA,24,3-Jun,200,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,43,4.9,1.1,1.3,-5.9,1.50%,6.20%,18.30%,47.70%,14.40%
Furkan Korkmaz,PHI,23,7-Jun,202,None,Turkey,2016,1,26,48,9.5,2,1.4,4.6,1.20%,9.00%,19.50%,55.40%,10.00%
