Player,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Semi Ojeleye,BOS,26,6-Jun,240,Southern Methodist,USA,2017,2,37,50,4.8,2.6,0.7,-0.2,3.10%,12.00%,11.30%,56.10%,5.50%
Sekou Doumbouya,DET,20,8-Jun,230,None,France,2019,1,15,48,4,2.2,0.7,-6.8,3.80%,12.10%,16.80%,43.80%,7.80%
Sean McDermott,MEM,24,6-Jun,195,Butler,USA,Undrafted,Undrafted,Undrafted,17,2.3,1.1,0.2,-17.8,3.10%,8.80%,10.20%,53.40%,4.30%
Sam Merrill,MIL,24,4-Jun,205,Utah State,USA,2020,2,60,27,3.1,1,0.7,-6.5,2.90%,9.30%,15.10%,65.90%,14.60%
Saddiq Bey,DET,22,7-Jun,215,Villanova,USA,2020,1,19,60,11.3,4.2,1.2,-4.3,2.20%,14.20%,17.70%,57.00%,7.30%
Saben Lee,DET,21,2-Jun,183,Vanderbilt,USA,2020,2,38,38,5.2,2.1,3.3,-8.1,2.80%,10.70%,17.10%,53.60%,32.90%
Ryan Arcidiacono,CHI,27,3-Jun,195,Villanova,USA,Undrafted,Undrafted,Undrafted,36,3,1.6,1.3,-3.4,1.30%,13.60%,12.30%,50.90%,17.90%
Russell Westbrook,WAS,32,3-Jun,200,UCLA,USA,2008,1,4,54,21.8,11,11,-3.5,4.40%,24.30%,30.20%,50.10%,46.80%
Rui Hachimura,WAS,23,8-Jun,230,Gonzaga,Japan,2019,1,9,48,13.5,5.7,1.5,-4,2.60%,14.50%,17.70%,54.40%,6.50%
Rudy Gobert,UTA,28,1-Jul,258,None,France,2013,1,27,60,14.5,13.5,1.3,15.8,10.80%,28.30%,16.60%,68.20%,6.00%
Rudy Gay,SAS,34,8-Jun,250,Connecticut,USA,2006,1,8,52,11.1,4.9,1.5,5.8,2.90%,17.50%,22.60%,52.60%,10.50%
Royce O'Neale,UTA,27,4-Jun,226,Baylor,USA,Undrafted,Undrafted,Undrafted,60,6.9,7.1,2.6,9.8,3.90%,16.80%,9.30%,59.20%,10.20%
Rondae Hollis-Jefferson,POR,26,6-Jun,217,Arizona,USA,2015,1,23,5,3.4,2.6,1.6,-15.7,8.80%,12.00%,12.70%,52.60%,20.50%
Romeo Langford,BOS,21,4-Jun,216,Indiana,USA,2019,1,14,12,2.3,2.1,0.7,-10.1,5.00%,7.90%,9.70%,38.20%,6.70%
Rodney McGruder,DET,29,4-Jun,205,Kansas State,USA,Undrafted,Undrafted,Undrafted,16,5.7,1.4,1,-4,4.20%,7.80%,17.90%,61.90%,12.80%
Rodney Hood,TOR,28,8-Jun,208,Duke,USA,2014,1,23,49,4.7,1.9,1.1,-6.3,2.20%,8.00%,14.10%,44.90%,8.50%
Rodions Kurucs,MIL,23,9-Jun,228,None,Latvia,2018,2,40,21,1.5,1.1,0.5,-0.3,3.70%,13.40%,14.50%,45.90%,11.50%
Robin Lopez,WAS,33,Jul-00,281,Stanford,USA,2008,1,15,60,8.8,3.9,0.9,-2.7,9.50%,9.30%,16.10%,66.20%,6.40%
Robert Woodard II,SAC,21,6-Jun,235,Mississippi State,USA,2020,2,40,11,1.6,1,0,11.8,8.80%,24.20%,24.40%,51.40%,0.00%
Robert Williams III,BOS,23,8-Jun,237,Texas A&M,USA,2018,1,27,47,8.2,7,1.8,-1,13.80%,23.40%,14.90%,72.10%,13.70%
Robert Franks,ORL,24,7-Jun,225,Washington State,USA,2019,,,7,6.1,2,0.7,-14.4,5.30%,8.20%,14.80%,63.80%,7.00%
Robert Covington,POR,30,7-Jun,209,Tennessee State,USA,Undrafted,Undrafted,Undrafted,58,8.7,6.7,1.7,3.3,2.50%,18.50%,11.80%,55.90%,6.80%
Ricky Rubio,MIN,30,3-Jun,190,None,Spain,2009,1,5,58,8.2,3.2,6.6,-7.1,1.30%,10.90%,15.50%,50.10%,34.00%
Richaun Holmes,SAC,27,10-Jun,235,Bowling Green,USA,2015,2,37,52,14.3,8.8,1.6,-0.5,8.60%,20.60%,16.80%,67.70%,7.70%
Reggie Perry,BKN,21,8-Jun,250,Mississippi State,USA,2020,2,57,21,3.6,3.1,0.7,-6.6,11.20%,19.60%,19.20%,47.70%,10.10%
Reggie Jackson,LAC,31,2-Jun,208,Boston College,USA,2011,1,24,59,10.5,2.9,3.2,7.6,1.80%,10.90%,19.30%,57.40%,19.10%
Reggie Bullock,NYK,30,6-Jun,205,North Carolina,USA,2013,1,25,55,10.5,3.3,1.5,1.6,0.70%,10.50%,14.00%,60.20%,7.30%
Rayjon Tucker,PHI,23,3-Jun,209,Arkansas-Little Rock,USA,Undrafted,Undrafted,Undrafted,12,2,0.8,0.4,12.4,1.60%,16.30%,16.00%,69.90%,16.10%
Ray Spalding,HOU,24,9-Jun,225,Louisville,USA,2018,2,56,2,2,2,0,-15.9,8.30%,8.30%,15.70%,41.00%,0.00%
Raul Neto,WAS,28,1-Jun,180,None,Brazil,2013,2,47,55,8.3,2.3,2.1,-2.6,1.90%,8.70%,15.90%,55.90%,14.20%
Rajon Rondo,LAC,35,1-Jun,180,Kentucky,USA,2006,1,21,37,4.6,2.2,4,1.5,2.10%,10.30%,15.90%,50.60%,36.10%
RJ Barrett,NYK,20,6-Jun,214,Duke,Canada,2019,1,3,62,17.5,5.7,2.9,1.8,2.90%,12.90%,22.90%,53.50%,13.20%
R.J. Hampton,ORL,20,4-Jun,175,None,USA,2020,1,24,41,5.1,2.7,1,-18.3,3.00%,15.20%,17.40%,49.30%,10.10%
Quinndary Weatherspoon,SAS,24,3-Jun,205,Mississippi State,USA,2019,2,49,17,1.1,0.4,0.3,-36.2,2.50%,5.80%,16.10%,48.70%,12.50%
