#,Player,Team,GP_x,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,TEAM,AGE,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP_y,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT,Position,SALARY
2,Gordon Hayward,CHA,44,34.0,7.1,15.0,0.473,1.9,4.7,0.415,3.5,4.2,0.843,2.1,1.7,0.8,5.0,5.9,4.1,1.2,0.3,19.6,CHA,31,225,Butler,USA,2010,1,9,44,19.6,5.9,4.1,0.7,2.4,14.3,23.5,58.4,18.9,79,SF,28500000
3,LaMelo Ball,CHA,41,28.6,5.8,12.8,0.451,2.0,5.3,0.375,2.4,3.0,0.789,2.8,2.8,1.3,4.5,5.9,6.1,1.6,0.3,15.9,CHA,19,180,None,USA,2020,1,3,41,15.9,5.9,6.1,-2.2,4.4,15.9,24.2,56.2,31.9,78,PG,7839960
4,Devonte' Graham,CHA,48,29.9,4.5,12.1,0.373,3.1,8.5,0.37,2.0,2.5,0.824,1.5,1.4,0.4,2.2,2.6,5.4,0.9,0.1,14.2,CHA,26,195,Kansas,USA,2018,2,34,48,14.2,2.6,5.4,3.4,1.3,7.3,20.9,53.9,27.0,73,PG,1517981
5,Malik Monk,CHA,32,21.7,4.6,10.1,0.46,2.2,5.2,0.424,1.7,2.0,0.815,1.5,1.2,0.4,2.3,2.7,1.9,0.5,0.1,13.1,CHA,23,200,Kentucky,USA,2017,1,11,32,13.1,2.7,1.9,3.2,1.7,10.4,23.6,59.8,13.9,75,SG,5345687
6,P.J. Washington,CHA,53,29.7,4.4,10.1,0.438,1.6,4.1,0.399,1.8,2.4,0.764,2.1,2.6,1.4,4.9,6.4,2.6,1.0,1.3,12.3,CHA,22,230,Kentucky,USA,2019,1,12,53,12.3,6.4,2.6,1.2,4.6,16.4,19.1,55.2,12.8,79,PF,4023600
7,Miles Bridges,CHA,60,28.5,4.4,8.8,0.505,1.7,4.1,0.407,1.3,1.6,0.851,1.6,2.1,1.2,4.8,6.0,2.1,0.7,0.7,11.8,CHA,23,225,Michigan State,USA,2018,1,12,60,11.9,6.1,2.1,1.6,4.2,16.2,16.4,62.8,10.5,78,SF,3934320
8,Cody Zeller,CHA,38,21.0,3.6,6.7,0.542,0.1,0.7,0.12,1.7,2.2,0.741,1.1,2.4,2.6,4.3,6.9,1.9,0.6,0.4,8.9,CHA,28,240,Indiana,USA,2013,1,4,38,8.9,6.9,1.9,1.7,12.4,20.8,17.4,58.5,13.1,83,C,15415730
9,Brad Wanamaker,CHA,14,19.0,2.7,6.4,0.422,0.2,1.5,0.143,1.7,2.0,0.857,1.8,2.0,0.3,1.3,1.6,3.6,0.9,0.2,7.4,CHA,31,210,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,53,5.4,1.7,2.8,-5.6,1.3,8.3,17.2,48.0,25.6,75,PG,2250000
12,Brad Wanamaker,GSW,39,16.0,1.6,4.4,0.353,0.3,1.6,0.213,1.3,1.4,0.893,0.9,1.4,0.2,1.5,1.7,2.5,0.7,0.2,4.7,CHA,31,210,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,53,5.4,1.7,2.8,-5.6,1.3,8.3,17.2,48.0,25.6,75,PG,2250000
10,Jalen McDaniels,CHA,35,16.9,2.5,5.5,0.448,0.7,2.1,0.319,0.9,1.2,0.732,1.0,1.9,0.7,2.1,2.8,1.0,0.6,0.3,6.5,CHA,23,205,San Diego State,USA,2019,2,52,35,6.5,2.8,1.0,-6.3,3.8,12.8,17.9,53.5,9.2,81,PF,1517981
11,Bismack Biyombo,CHA,54,20.9,2.2,3.9,0.572,0.0,0.0,0.0,0.8,1.7,0.478,1.0,2.3,2.1,3.2,5.3,1.3,0.3,1.1,5.2,CHA,28,255,None,DRC,2011,1,7,54,5.2,5.3,1.3,-6.8,9.5,14.8,11.4,56.7,8.9,80,C,3500000
12,Caleb Martin,CHA,45,15.1,1.8,4.9,0.379,0.6,2.3,0.252,0.7,1.1,0.612,0.6,1.1,0.6,2.1,2.8,1.2,0.7,0.2,4.9,CHA,25,205,Nevada-Reno,USA,Undrafted,Undrafted,Undrafted,45,4.9,2.8,1.2,-5.9,4.1,13.2,16.9,46.1,12.3,77,SF,1517981
13,Cody Martin,CHA,48,15.9,1.6,3.5,0.453,0.3,1.1,0.275,0.5,0.8,0.615,0.7,0.9,0.9,2.0,2.9,1.6,0.6,0.2,4.0,CHA,25,205,Nevada-Reno,USA,2019,2,36,48,4.0,2.9,1.6,0.5,5.5,12.2,12.2,51.3,14.1,77,SF,1173310
14,Grant Riller,CHA,5,4.3,1.2,1.8,0.667,0.4,0.8,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.2,0.0,2.8,CHA,24,190,College of Charleston,USA,2020,2,56,5,2.8,0.0,0.6,-2.3,0.0,0.0,21.7,77.8,37.5,74,PG,0
16,Nate Darling,CHA,6,4.0,0.3,1.2,0.286,0.3,1.2,0.286,0.5,0.5,1.0,0.2,0.2,0.2,0.0,0.2,0.2,0.0,0.2,1.5,CHA,22,200,Delaware,Canada,Undrafted,Undrafted,Undrafted,6,1.5,0.2,0.2,-56.0,3.6,0.0,14.5,54.1,14.3,78,SG,0
17,Nick Richards,CHA,17,3.6,0.2,0.5,0.5,0.0,0.1,0.0,0.4,0.6,0.636,0.2,0.4,0.1,0.4,0.5,0.1,0.0,0.0,0.9,CHA,23,245,Kentucky,Jamaica,2020,2,42,17,0.9,0.5,0.1,-10.0,2.9,9.7,10.8,58.4,5.7,84,C,1000000
1,Zach LaVine,CHI,53,35.2,9.8,19.4,0.506,3.4,8.2,0.416,4.4,5.2,0.848,3.6,2.3,0.6,4.5,5.1,5.1,0.8,0.5,27.5,CHI,26,200,UCLA,USA,2014,1,13,53,27.5,5.1,5.1,-1.4,1.8,12.5,30.3,63.3,23.2,77,SG,19500000
2,Nikola Vucevic,CHI,17,31.8,9.1,17.8,0.513,2.3,5.3,0.433,1.7,2.0,0.853,1.5,2.1,2.1,8.1,10.2,3.7,1.0,0.8,22.2,CHI,30,260,Southern California,Montenegro,2011,1,16,62,23.9,11.3,3.7,-7.9,5.7,28.5,29.1,57.5,20.5,83,C,26000000
1,Nikola Vucevic,ORL,44,34.1,9.9,20.6,0.48,2.7,6.5,0.406,2.1,2.5,0.827,1.9,1.8,2.0,9.8,11.8,3.8,1.0,0.6,24.5,CHI,30,260,Southern California,Montenegro,2011,1,16,62,23.9,11.3,3.7,-7.9,5.7,28.5,29.1,57.5,20.5,83,C,26000000
3,Coby White,CHI,57,30.7,5.3,12.8,0.417,2.1,6.2,0.347,1.9,2.1,0.917,2.2,2.5,0.4,3.7,4.1,4.5,0.6,0.2,14.8,CHI,21,195,North Carolina,USA,2019,1,7,58,14.8,4.1,4.6,-2.2,1.3,11.8,21.9,53.7,21.2,77,PG,5572680
4,Lauri Markkanen,CHI,40,26.8,5.2,10.8,0.479,2.4,6.0,0.397,1.6,2.0,0.835,1.1,1.5,0.7,4.6,5.3,0.9,0.5,0.3,14.4,CHI,23,240,Arizona,Finland,2017,1,7,41,14.3,5.2,0.9,-2.6,2.6,16.9,20.1,61.4,5.2,84,PF,6731508
5,Thaddeus Young,CHI,56,24.0,5.5,9.6,0.578,0.2,0.6,0.278,1.0,1.5,0.635,2.0,2.4,2.4,3.7,6.1,4.1,1.1,0.6,12.2,CHI,32,235,Georgia Tech,USA,2007,1,12,57,12.1,6.2,4.2,4.1,10.6,15.6,21.2,59.8,24.7,80,PF,13545000
8,Patrick Williams,CHI,59,28.2,3.6,7.5,0.482,0.8,2.0,0.381,1.2,1.6,0.755,1.4,1.9,0.9,3.8,4.7,1.4,0.9,0.6,9.2,CHI,19,215,Florida State,USA,2020,1,4,60,9.1,4.7,1.4,-6.6,3.2,13.3,14.5,55.9,6.7,79,PF,7068360
10,Tomas Satoransky,CHI,48,23.3,2.9,5.8,0.507,0.8,2.1,0.379,1.2,1.3,0.889,1.7,1.6,0.5,1.9,2.4,4.9,0.8,0.2,7.9,CHI,29,210,None,Czech Republi...,2012,2,32,49,7.8,2.4,4.9,-1.0,2.3,8.4,14.8,61.6,27.9,79,SG,10000000
11,Garrett Temple,CHI,44,26.8,2.9,7.0,0.415,1.2,3.7,0.337,0.8,0.9,0.825,1.0,2.2,0.5,2.3,2.8,2.2,0.8,0.5,7.8,CHI,34,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,45,7.8,2.8,2.2,3.5,1.9,8.4,13.0,53.2,10.0,77,SF,4767000
12,Denzel Valentine,CHI,53,17.6,2.7,7.0,0.38,1.4,4.2,0.327,0.2,0.3,0.929,0.7,1.1,0.4,3.0,3.4,1.7,0.5,0.1,6.9,CHI,27,220,Michigan State,USA,2016,1,14,54,6.8,3.4,1.6,0.2,2.2,17.3,18.7,48.5,13.4,76,SG,4642800
14,Daniel Gafford,CHI,31,12.4,1.9,2.8,0.69,0.0,0.0,0.0,0.9,1.3,0.659,0.7,1.7,1.4,1.9,3.3,0.5,0.4,1.1,4.7,WAS,22,234,Arkansas,USA,2019,2,38,43,6.4,4.1,0.5,2.8,11.3,16.1,15.9,68.1,5.5,82,C,1517981
6,Daniel Gafford,WAS,11,18.5,4.6,7.0,0.662,0.0,0.0,0.0,2.0,3.3,0.611,0.8,1.5,2.0,4.2,6.2,0.5,0.9,2.2,11.3,WAS,22,234,Arkansas,USA,2019,2,38,43,6.4,4.1,0.5,2.8,11.3,16.1,15.9,68.1,5.5,82,C,1517981
15,Ryan Arcidiacono,CHI,35,11.0,1.1,2.8,0.394,0.5,1.6,0.316,0.3,0.5,0.75,0.2,1.2,0.1,1.5,1.6,1.4,0.2,0.0,3.1,CHI,27,195,Villanova,USA,Undrafted,Undrafted,Undrafted,36,3.0,1.6,1.3,-3.4,1.3,13.6,12.3,50.9,17.9,75,PG,3000000
17,Chandler Hutchison,CHI,7,9.1,0.7,2.6,0.278,0.1,0.4,0.333,0.3,0.3,1.0,0.7,1.3,0.1,2.7,2.9,0.6,0.1,0.0,1.9,WAS,25,210,Boise State,USA,2018,1,22,14,3.8,3.4,0.6,-3.3,2.1,21.0,16.2,43.6,6.1,78,F,2443440
14,Chandler Hutchison,WAS,7,17.3,2.0,5.3,0.378,0.4,1.6,0.273,1.3,1.6,0.818,1.3,1.4,0.4,3.4,3.9,0.7,0.4,0.0,5.7,WAS,25,210,Boise State,USA,2018,1,22,14,3.8,3.4,0.6,-3.3,2.1,21.0,16.2,43.6,6.1,78,F,2443440
18,Adam Mokoka,CHI,11,4.7,0.6,1.5,0.412,0.1,0.8,0.111,0.0,0.1,0.0,0.3,0.5,0.1,0.4,0.5,0.5,0.2,0.1,1.4,CHI,22,190,None,France,Undrafted,Undrafted,Undrafted,11,1.4,0.5,0.5,-11.5,1.9,8.5,15.9,43.0,19.2,76,SG,0
19,Cristiano Felicio,CHI,13,4.4,0.3,0.5,0.571,0.0,0.1,0.0,0.5,0.8,0.6,0.3,0.5,0.5,0.6,1.1,0.6,0.2,0.0,1.1,CHI,28,270,None,Brazil,Undrafted,Undrafted,Undrafted,13,1.1,1.1,0.6,2.5,9.5,15.7,11.0,61.4,22.9,83,PF,7529020
20,Devon Dotson,CHI,6,3.6,0.5,1.2,0.429,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.2,0.5,0.3,0.2,0.0,1.0,CHI,21,185,Kansas,USA,Undrafted,Undrafted,Undrafted,6,1.0,0.5,0.3,3.9,7.7,5.6,11.7,42.9,15.4,74,PG,0
22,Al-Farouq Aminu,CHI,3,8.0,0.0,1.0,0.0,0.0,0.7,0.0,0.7,0.7,1.0,0.7,1.0,0.0,3.0,3.0,0.3,0.0,0.0,0.7,CHI,30,220,Wake Forest,USA,2010,1,8,20,4.8,5.0,1.5,-7.6,5.1,20.2,14.3,47.3,10.9,80,PF,9720900
19,Al-Farouq Aminu,ORL,17,21.6,2.1,5.2,0.404,0.4,1.8,0.226,0.8,1.0,0.824,1.5,1.3,1.2,4.2,5.4,1.7,1.0,0.5,5.5,CHI,30,220,Wake Forest,USA,2010,1,8,20,4.8,5.0,1.5,-7.6,5.1,20.2,14.3,47.3,10.9,80,PF,9720900
1,Collin Sexton,CLE,50,35.7,9.0,18.4,0.487,1.7,4.4,0.376,4.8,5.9,0.815,2.6,2.7,0.9,2.2,3.0,4.1,1.1,0.1,24.5,CLE,22,190,Alabama,USA,2018,1,8,50,24.5,3.0,4.1,-7.6,2.4,6.3,28.0,58.1,20.3,73,PG,4991880
2,Darius Garland,CLE,50,33.7,6.8,15.0,0.454,2.0,4.9,0.411,2.1,2.5,0.847,3.0,2.2,0.5,2.0,2.5,6.1,1.2,0.1,17.8,CLE,21,192,Vanderbilt,USA,2019,1,5,51,17.7,2.5,6.2,-7.0,1.4,6.2,24.4,55.0,29.7,73,PG,6720720
3,Andre Drummond,CLE,25,28.9,7.2,15.2,0.474,0.0,0.3,0.0,3.1,5.2,0.597,3.2,2.8,4.0,9.4,13.5,2.6,1.6,1.2,17.5,LAL,27,279,Connecticut,USA,2012,1,9,35,15.7,12.6,2.3,-5.3,12.9,35.1,28.2,50.8,13.7,82,C,794536
6,Andre Drummond,LAL,9,25.8,4.3,9.1,0.476,0.0,0.0,0.0,2.6,3.7,0.697,2.7,3.9,2.7,7.7,10.3,1.9,1.7,0.8,11.2,LAL,27,279,Connecticut,USA,2012,1,9,35,15.7,12.6,2.3,-5.3,12.9,35.1,28.2,50.8,13.7,82,C,794536
5,Kevin Love,CLE,17,23.1,4.0,9.9,0.402,2.1,6.2,0.343,1.6,2.1,0.778,1.4,0.9,0.7,5.7,6.4,2.2,0.5,0.1,11.8,CLE,32,251,UCLA,USA,2008,1,5,18,11.7,6.4,2.3,-0.3,2.9,25.2,22.4,53.8,14.0,80,PF,31258256
7,Cedi Osman,CLE,50,24.3,3.5,9.5,0.366,1.6,5.3,0.305,1.1,1.5,0.75,1.1,1.9,0.6,2.7,3.3,2.6,0.9,0.2,9.7,CLE,26,230,None,Turkey,2015,2,31,51,9.6,3.3,2.7,-10.4,2.4,11.4,19.3,47.5,16.0,79,SF,8840580
8,Yogi Ferrell,CLE,2,20.2,4.0,10.5,0.381,1.5,4.5,0.333,0.0,1.0,0.0,1.5,2.0,1.5,2.0,3.5,2.5,1.5,0.5,9.5,LAC,27,178,Indiana,USA,Undrafted,Undrafted,Undrafted,4,8.3,2.0,3.5,5.7,4.2,7.4,21.5,49.7,31.8,72,G,0
11,Yogi Ferrell,LAC,1,20.1,2.0,6.0,0.333,1.0,3.0,0.333,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,8.0,LAC,27,178,Indiana,USA,Undrafted,Undrafted,Undrafted,4,8.3,2.0,3.5,5.7,4.2,7.4,21.5,49.7,31.8,72,G,0
10,Isaiah Hartenstein,CLE,14,18.7,3.5,5.6,0.628,0.1,0.4,0.4,1.6,2.4,0.667,1.5,2.9,1.6,4.9,6.6,2.4,0.5,1.3,8.7,CLE,22,250,None,Germany,2017,2,43,44,5.1,4.0,1.1,5.3,11.6,21.0,18.3,60.0,13.6,84,C,1620564
14,Isaiah Hartenstein,DEN,30,9.1,1.4,2.7,0.512,0.0,0.0,0.0,0.7,1.2,0.611,0.7,2.0,1.3,1.5,2.8,0.5,0.4,0.7,3.5,CLE,22,250,None,Germany,2017,2,43,44,5.1,4.0,1.1,5.3,11.6,21.0,18.3,60.0,13.6,84,C,1620564
11,Isaac Okoro,CLE,55,31.8,3.0,7.2,0.422,0.8,2.8,0.299,1.3,1.8,0.72,1.3,2.8,0.9,1.8,2.8,1.8,1.0,0.4,8.2,CLE,20,225,Auburn,USA,2020,1,5,56,8.4,2.8,1.8,-7.9,3.1,6.2,13.0,51.6,7.9,77,SF,6400920
12,JaVale McGee,CLE,33,15.2,3.4,6.5,0.521,0.2,0.6,0.25,1.1,1.7,0.655,1.4,2.4,1.6,3.5,5.2,1.0,0.5,1.2,8.0,DEN,33,270,Nevada-Reno,USA,2008,1,18,38,7.6,5.1,0.9,-6.2,10.1,22.9,23.4,55.4,10.6,84,C,4200000
13,JaVale McGee,DEN,5,11.0,2.0,3.6,0.556,0.0,0.2,0.0,0.4,0.8,0.5,1.6,3.0,1.4,3.0,4.4,0.2,0.4,0.6,4.4,DEN,33,270,Nevada-Reno,USA,2008,1,18,38,7.6,5.1,0.9,-6.2,10.1,22.9,23.4,55.4,10.6,84,C,4200000
13,Damyean Dotson,CLE,35,18.8,2.5,6.3,0.394,0.9,3.3,0.278,0.6,0.9,0.688,0.8,0.9,0.1,1.9,2.0,2.1,0.4,0.1,6.5,CLE,26,210,Houston,USA,2017,2,44,36,6.6,2.1,2.1,-10.1,0.7,10.1,16.8,48.8,17.8,77,SG,2000000
15,Dylan Windler,CLE,31,16.5,1.8,4.2,0.438,0.8,2.5,0.338,0.7,0.9,0.778,1.0,1.2,0.6,2.8,3.5,1.1,0.6,0.4,5.2,CLE,24,196,Belmont,USA,2019,1,26,31,5.2,3.5,1.1,-6.5,3.9,17.1,14.0,56.7,8.9,78,SG,2137440
16,Dean Wade,CLE,51,16.8,1.8,4.3,0.427,1.1,2.9,0.362,0.3,0.4,0.762,0.4,1.1,0.5,2.5,3.0,1.1,0.5,0.4,5.1,CLE,24,228,Kansas State,USA,Undrafted,Undrafted,Undrafted,52,5.1,3.0,1.1,-4.6,2.9,15.4,12.6,56.1,9.8,81,PF,1517981
17,Lamar Stevens,CLE,40,12.5,1.6,3.4,0.456,0.1,0.6,0.16,0.9,1.3,0.725,0.6,1.3,0.6,1.8,2.4,0.6,0.4,0.3,4.1,CLE,23,230,Penn State,USA,Undrafted,Undrafted,Undrafted,40,4.1,2.4,0.6,-10.4,4.4,14.5,15.2,52.1,7.9,78,PF,0
18,Dante Exum,CLE,6,19.4,1.7,4.3,0.385,0.3,1.8,0.182,0.2,0.3,0.5,1.2,1.5,0.3,2.5,2.8,2.2,0.7,0.3,3.8,HOU,25,214,None,Australia,2014,1,5,6,3.8,2.8,2.2,3.6,1.5,12.9,11.9,42.8,15.5,77,PG,9600000
21,Brodric Thomas,CLE,16,9.0,0.8,2.7,0.279,0.2,1.3,0.19,0.8,1.0,0.812,0.5,0.8,0.1,0.8,0.9,0.6,0.4,0.2,2.6,CLE,24,185,Truman State,USA,Undrafted,Undrafted,Undrafted,21,2.9,1.0,0.7,5.7,2.1,8.3,18.1,46.1,11.8,77,SG,0
24,Brodric Thomas,HOU,4,6.0,0.5,1.8,0.286,0.2,1.5,0.167,1.2,1.8,0.714,1.0,1.2,0.2,0.8,1.0,1.0,0.2,0.2,2.5,CLE,24,185,Truman State,USA,Undrafted,Undrafted,Undrafted,21,2.9,1.0,0.7,5.7,2.1,8.3,18.1,46.1,11.8,77,SG,0
22,Mfiondu Kabengele,CLE,4,6.0,0.5,1.2,0.4,0.2,1.0,0.25,0.5,0.5,1.0,0.2,1.0,0.0,1.2,1.2,0.2,0.5,0.0,1.8,CLE,23,250,Florida State,Canada,2019,1,27,28,1.3,0.7,0.3,-6.3,0.8,12.6,17.3,41.4,8.8,81,F,2075880
18,Mfiondu Kabengele,LAC,23,4.1,0.4,1.4,0.281,0.2,0.8,0.222,0.2,0.3,0.833,0.3,0.8,0.0,0.6,0.6,0.2,0.1,0.1,1.2,CLE,23,250,Florida State,Canada,2019,1,27,28,1.3,0.7,0.3,-6.3,0.8,12.6,17.3,41.4,8.8,81,F,2075880
1,Luka Doncic,DAL,54,35.2,10.1,20.9,0.483,3.0,8.3,0.359,5.3,7.3,0.727,4.3,2.3,0.8,7.2,8.0,8.8,1.0,0.6,28.5,DAL,22,230,None,Slovenia,2018,1,3,55,28.4,8.0,8.7,3.0,2.2,19.8,34.8,59.0,42.5,79,PG,8049360
2,Kristaps Porzingis,DAL,39,31.4,7.6,16.1,0.474,2.2,6.2,0.362,2.9,3.4,0.85,1.3,2.7,2.0,7.3,9.3,1.6,0.5,1.5,20.4,DAL,25,240,None,Latvia,2015,1,4,39,20.4,9.3,1.6,1.1,6.2,22.3,26.1,57.9,8.3,87,C,29467800
3,Tim Hardaway Jr.,DAL,58,28.3,5.5,12.7,0.432,2.8,7.3,0.38,1.8,2.3,0.791,0.9,1.5,0.3,3.0,3.3,1.7,0.4,0.2,15.5,DAL,29,205,Michigan,USA,2013,1,24,59,15.6,3.3,1.7,-0.5,1.0,10.1,22.6,56.6,9.1,77,SF,18975000
4,Jalen Brunson,DAL,55,25.5,4.8,9.1,0.525,1.1,2.9,0.391,1.9,2.5,0.785,1.3,1.7,0.5,3.2,3.6,3.5,0.5,0.0,12.6,DAL,24,190,Villanova,USA,2018,2,33,56,12.5,3.6,3.5,4.3,1.8,11.7,19.4,61.6,20.8,73,PG,1663861
5,Josh Richardson,DAL,48,31.7,4.5,10.4,0.429,1.5,4.8,0.316,1.8,2.0,0.905,1.4,2.4,0.9,2.6,3.5,2.8,0.9,0.4,12.2,DAL,27,200,Tennessee,USA,2015,2,40,48,12.3,3.5,2.8,-1.0,2.7,8.0,17.5,54.2,12.5,77,SG,10865952
6,Dorian Finney-Smith,DAL,48,32.3,3.6,7.8,0.458,2.0,5.0,0.39,0.5,0.6,0.806,0.6,2.4,1.7,3.8,5.5,1.5,0.9,0.4,9.6,DAL,27,220,Florida,USA,Undrafted,Undrafted,Undrafted,49,9.6,5.6,1.6,3.4,5.5,11.5,11.7,59.5,6.6,79,PF,4000000
7,Maxi Kleber,DAL,43,27.7,2.3,5.6,0.414,1.8,4.3,0.413,0.7,0.8,0.914,0.7,2.3,1.0,4.5,5.4,1.4,0.6,0.7,7.1,DAL,29,240,None,Germany,Undrafted,Undrafted,Undrafted,44,7.0,5.3,1.3,4.2,3.4,15.1,10.2,60.3,6.4,82,PF,8325000
8,Trey Burke,DAL,49,14.3,2.4,5.4,0.444,1.0,2.7,0.362,0.7,0.8,0.85,0.5,1.0,0.1,0.8,0.9,1.3,0.6,0.1,6.5,DAL,28,185,Michigan,USA,2013,1,9,50,6.7,0.9,1.4,-0.3,0.8,5.0,19.0,56.5,14.4,72,PG,3000000
10,James Johnson,DAL,29,17.4,2.3,5.0,0.462,0.5,2.1,0.25,0.6,1.0,0.586,0.9,2.0,0.5,2.5,3.0,1.7,0.8,0.8,5.7,NOP,34,240,Wake Forest,USA,2009,1,16,40,6.8,3.3,2.0,-4.0,2.6,12.8,16.3,51.4,14.1,79,PF,16047100
6,James Johnson,NOP,11,27.2,3.6,8.8,0.412,0.9,3.3,0.278,1.5,2.2,0.708,1.5,3.0,0.7,3.4,4.1,2.7,0.9,1.3,9.7,NOP,34,240,Wake Forest,USA,2009,1,16,40,6.8,3.3,2.0,-4.0,2.6,12.8,16.3,51.4,14.1,79,PF,16047100
11,Willie Cauley-Stein,DAL,40,16.9,2.2,3.5,0.627,0.0,0.2,0.111,1.1,1.7,0.657,0.5,2.4,1.1,3.1,4.2,0.7,0.3,0.8,5.6,DAL,27,240,Kentucky,USA,2015,1,6,41,5.6,4.3,0.7,9.3,7.1,16.8,12.7,64.6,5.8,84,C,4100000
12,Dwight Powell,DAL,45,14.9,1.8,3.2,0.576,0.1,0.4,0.25,1.4,1.9,0.774,0.6,2.2,1.2,2.3,3.5,0.8,0.6,0.3,5.2,DAL,29,240,Stanford,Canada,2014,2,45,46,5.2,3.5,0.8,2.9,7.8,15.4,13.6,64.8,7.6,82,C,11080125
13,Boban Marjanovic,DAL,24,9.0,2.0,4.2,0.48,0.0,0.2,0.0,0.8,1.1,0.769,0.4,1.0,1.6,2.8,4.4,0.3,0.0,0.2,4.9,DAL,32,290,None,Serbia,Undrafted,Undrafted,Undrafted,25,5.1,4.2,0.3,8.7,16.5,28.4,24.0,54.1,5.0,88,C,3500000
14,Nicolo Melli,DAL,12,14.5,1.2,2.9,0.4,0.6,1.8,0.333,0.3,0.4,0.8,0.2,1.8,0.5,2.2,2.7,0.7,0.2,0.2,3.2,DAL,30,236,None,Italy,Undrafted,Undrafted,Undrafted,35,2.3,2.7,1.0,4.0,4.2,17.1,10.9,40.1,10.8,81,PF,4102564
17,Nicolo Melli,NOP,22,11.0,0.7,2.7,0.254,0.3,1.7,0.189,0.3,0.3,0.857,0.3,1.3,0.5,2.0,2.6,1.1,0.4,0.0,2.0,DAL,30,236,None,Italy,Undrafted,Undrafted,Undrafted,35,2.3,2.7,1.0,4.0,4.2,17.1,10.9,40.1,10.8,81,PF,4102564
15,Josh Green,DAL,28,10.1,0.9,2.1,0.433,0.1,0.6,0.118,0.3,0.5,0.6,0.5,0.7,0.6,1.2,1.9,0.5,0.2,0.1,2.2,DAL,20,200,Arizona,Australia,2020,1,18,29,2.2,1.9,0.5,0.9,5.9,12.0,11.5,47.4,6.4,77,SG,2816760
17,Nate Hinton,DAL,14,3.4,0.6,1.4,0.4,0.1,0.4,0.167,0.3,0.4,0.667,0.3,0.2,0.1,0.3,0.4,0.3,0.3,0.1,1.5,DAL,21,210,Houston,USA,Undrafted,Undrafted,Undrafted,14,1.5,0.4,0.3,-21.5,1.8,7.3,21.7,46.4,16.7,77,SG,0
18,Tyrell Terry,DAL,11,5.1,0.5,1.5,0.312,0.0,0.6,0.0,0.1,0.3,0.333,0.2,0.2,0.0,0.5,0.5,0.5,0.5,0.0,1.0,DAL,20,160,Stanford,USA,2020,2,31,11,1.0,0.5,0.5,0.0,0.0,11.8,13.5,31.8,15.8,74,PG,1289846
19,Tyler Bey,DAL,11,3.5,0.4,1.1,0.333,0.0,0.1,0.0,0.2,0.4,0.5,0.0,0.4,0.5,0.7,1.2,0.1,0.0,0.1,0.9,DAL,23,215,Colorado,USA,2020,2,36,11,0.9,1.2,0.1,-16.7,11.6,20.5,14.1,36.3,4.2,79,SG,0
1,Nikola Jokic,DEN,60,35.3,10.3,18.2,0.568,1.4,3.3,0.405,4.2,5.0,0.853,3.1,2.6,2.9,8.0,10.9,8.7,1.4,0.7,26.2,DEN,26,284,None,Serbia,2014,2,41,61,26.2,11.0,8.7,8.0,8.7,23.5,29.0,64.5,38.3,83,C,29542010
2,Jamal Murray,DEN,48,35.5,7.9,16.5,0.477,2.7,6.6,0.408,2.8,3.2,0.869,2.2,2.0,0.8,3.3,4.0,4.8,1.3,0.3,21.2,DEN,24,215,Kentucky,Canada,2016,1,7,48,21.2,4.0,4.8,8.0,2.3,9.5,24.4,59.2,19.7,75,PG,27285000
4,Will Barton,DEN,56,31.0,4.6,10.9,0.426,1.8,4.6,0.381,1.7,2.2,0.785,1.7,1.7,0.7,3.3,4.0,3.2,0.9,0.4,12.7,DEN,30,181,Memphis,USA,2012,2,40,56,12.7,4.0,3.2,6.0,2.4,10.9,18.7,53.8,13.5,78,SF,13723214
5,Aaron Gordon,DEN,15,26.5,4.3,8.3,0.52,0.9,2.9,0.295,1.4,1.9,0.75,1.3,1.4,1.3,3.5,4.8,2.5,0.8,0.6,10.9,DEN,25,235,Arizona,USA,2014,1,4,41,13.2,5.9,3.5,2.4,5.3,15.8,21.3,55.7,17.9,80,PF,18136364
4,Aaron Gordon,ORL,25,29.4,5.1,11.7,0.437,1.7,4.5,0.375,2.6,4.2,0.629,2.7,2.0,1.6,5.1,6.6,4.2,0.6,0.8,14.6,DEN,25,235,Arizona,USA,2014,1,4,41,13.2,5.9,3.5,2.4,5.3,15.8,21.3,55.7,17.9,80,PF,18136364
6,Monte Morris,DEN,44,26.1,4.0,8.3,0.477,1.1,3.0,0.377,1.3,1.6,0.789,0.7,1.0,0.2,1.9,2.2,3.2,0.7,0.3,10.3,DEN,25,183,Iowa State,USA,2017,2,51,44,10.3,2.2,3.2,7.1,0.9,7.3,15.8,57.2,16.7,74,PG,1588231
